element,rho,delta,scheme,raw_analytic,FE_FD,filtered_analytic,raw_subspace_FD,filtered_subspace_FD,abs_error,relative_error,error_over_raw_interior_RMS
6.100800000000000000e+04,9.989873309709985660e-01,1.000000000000000021e-03,0.000000000000000000e+00,8.305380834638118603e-01,8.305891442432766780e-01,8.513786448455060718e-01,8.305379409822537529e-01,8.513785002368192689e-01,5.106077946481768493e-05,6.147915487736029785e-05,1.541687583568608679e-05
6.100800000000000000e+04,9.989873309709985660e-01,2.999999999999999737e-04,0.000000000000000000e+00,8.305380834638118603e-01,8.304767895121283328e-01,8.513786448455060718e-01,8.305380706404645874e-01,8.513786318307173806e-01,6.129395168352758105e-05,7.380029032250665436e-05,1.850659650103053796e-05
6.100800000000000000e+04,9.989873309709985660e-01,1.000000000000000048e-04,0.000000000000000000e+00,8.305380834638118603e-01,8.304707262141164392e-01,8.513786448455060718e-01,8.305380820389952623e-01,8.513786433994183778e-01,6.735724969542111751e-05,8.110073581996797793e-05,2.033729931410712503e-05
6.125500000000000000e+04,8.581718475435090587e-01,1.000000000000000021e-03,0.000000000000000000e+00,-1.175958865075054316e+00,-1.175949299067724496e+00,-1.149872216384322465e+00,-1.175958392234494276e+00,-1.149871801177146491e+00,9.566007329819825600e-06,8.134644513445021808e-06,2.888282333189051949e-06
6.125500000000000000e+04,8.581718475435090587e-01,2.999999999999999737e-04,0.000000000000000000e+00,-1.175958865075054316e+00,-1.175866400444647297e+00,-1.149872216384322465e+00,-1.175958822519459934e+00,-1.149872179015724027e+00,9.246463040701868863e-05,7.862913674375611147e-05,2.791801733382922606e-05
6.125500000000000000e+04,8.581718475435090587e-01,1.000000000000000048e-04,0.000000000000000000e+00,-1.175958865075054316e+00,-1.175968282041139901e+00,-1.149872216384322465e+00,-1.175958860346655532e+00,-1.149872212232256441e+00,9.416966085584732582e-06,8.007904328340349323e-06,2.843282033921160926e-06
6.928400000000000000e+04,4.574936844870049479e-01,1.000000000000000021e-03,0.000000000000000000e+00,9.199662448526435554e-03,9.205850801663473248e-03,4.324648925484168155e-02,9.199663937572455721e-03,4.324649048488344444e-02,6.188353137037694296e-06,6.726717606936675727e-04,1.868460938925254909e-06
6.928400000000000000e+04,4.574936844870049479e-01,2.999999999999999737e-04,0.000000000000000000e+00,9.199662448526435554e-03,9.204250090988352895e-03,4.324648925484168155e-02,9.199662582540587760e-03,4.324648936554544715e-02,4.587642461917340597e-06,4.986750859160240428e-04,1.385155396278935651e-06
6.928400000000000000e+04,4.574936844870049479e-01,1.000000000000000048e-04,0.000000000000000000e+00,9.199662448526435554e-03,9.177510946756228805e-03,4.324648925484168155e-02,9.199662463416899416e-03,4.324648926714209918e-02,2.215150177020674960e-05,2.407860276846884341e-03,6.688244009290260037e-06
7.025100000000000000e+04,6.326853471211013602e-01,1.000000000000000021e-03,0.000000000000000000e+00,3.245397712485837971e-01,3.245314346713712439e-01,3.190793791653402378e-01,3.245397636333567370e-01,3.190793718328005513e-01,8.336577212553208938e-06,2.568738241381128684e-05,2.517078217912820807e-06
