outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,moveDescent,maxAbs,rms,l2,r_rho,Neff,u_min,u_P50,u_P75,u_P90,u_P95,u_P975,u_P99,u_max,u_mean,u_RMS,nActive_1e4,nActive_epsRMS,nActive_1e3,nActive_1e2,beta,nInner,innerConv,multN,degen
322,165.360707329966,195.614404455257,0.1829557796032,0.499996098658284,20.7179513533273,0.2444,0.0513,0.04,1,0,0.0250459573133178,0.00263651995231016,0.37286022740243,0.626148932832945,221.624030147973,2.20485154148287e-08,0.000196326075857963,0.0144980733474341,0.0823090384151364,0.133645919087749,0.182150702025071,0.322796862691693,0.626148932832945,0.0239995118425347,0.065912998807754,6168,4372,4220,308,27362.4193952844,17,1,2,1
323,165.400979520164,195.750602825346,0.183491194509412,0.499995744015676,20.5504085573859,0.2422,0.0512,0.04,1,0,0.0255792852376527,0.00274969809965474,0.388866034496327,0.639482130941318,231.112381657421,5.66720316349739e-09,0.000252512063537615,0.0153451338181351,0.0835366703753573,0.134747479637018,0.187144441802856,0.33301038925178,0.639482130941318,0.0248212228623165,0.0687424524913686,6196,4458,4276,314,27377.6400486662,17,1,2,1
324,165.445320474707,195.897780852397,0.184063594487368,0.499995631283765,20.3785040009302,0.2402,0.0514,0.04,1,0,0.0261795733837105,0.00279264714793505,0.394939947153229,0.654489334592763,227.581521837066,1.2757284543884e-09,0.00016517361647867,0.0154012737708877,0.0846566897486065,0.134436304743244,0.191797464817526,0.336770006953161,0.654489334592763,0.0250636101918004,0.0698161786983763,6158,4498,4310,320,27393.2358269373,17,1,2,1
325,165.489534025708,196.04768669905,0.184653083068048,0.499995818173566,20.2088959858393,0.2389,0.051,0.04,1,0,0.0276492904922635,0.00272618833806885,0.385541252128034,0.691232262306589,194.4346775803,1.21293612766036e-09,5.51676523174254e-05,0.0147014183601931,0.0842219705886279,0.133904581227505,0.191826450856108,0.331414944454353,0.691232262306589,0.0246544980508983,0.0681547084517213,6098,4424,4244,328,27406.6403954584,17,1,2,1
326,165.530095147854,196.192106399721,0.185235266278799,0.499996065704889,20.0432353145216,0.2371,0.0504,0.04,1,0,0.0329789482070747,0.00263181749255763,0.372195199166575,0.824473705176868,127.370229905861,3.78954995750093e-09,6.55767175647905e-05,0.0135974000639171,0.0832981841033732,0.131583400625644,0.19043689446285,0.317229338349858,0.824473705176868,0.0240511201782868,0.0657954373139407,6120,4354,4192,346,27418.8412115768,17,1,2,1
327,165.568876464628,196.330258539655,0.18579205664658,0.49999624256211,19.8815193998055,0.2359,0.0493,0.04,1,0,0.0272774713667401,0.00255938650416636,0.361951910554674,0.681936784168502,176.073310416998,1.04134071261486e-10,6.37850250471408e-05,0.0126392595579188,0.0815616196914218,0.130353090631391,0.189715163704867,0.299672134840704,0.681936784168502,0.0234296346287413,0.0639846626041591,6038,4270,4132,332,27431.212638351,17,1,2,1
328,165.606936708387,196.465229776969,0.186334544204023,0.499996380819456,19.724305609578,0.2347,0.0483,0.04,1,0,0.0252426536009294,0.00251366020827126,0.35548523577348,0.631066340023234,198.323017164561,3.16589474075692e-09,6.99044148279572e-05,0.0118110776592643,0.080148806626741,0.127043316332637,0.183495438817825,0.30511922374397,0.631066340023234,0.022851772383986,0.0628415052067816,5938,4202,4082,322,27443.5168897239,17,1,2,1
329,165.644469830881,196.597455729324,0.186863986042186,0.499996561130836,19.5734472944314,0.2333,0.0472,0.04,1,0,0.0262791287331647,0.00246086843158859,0.348019351116839,0.656978218329118,175.381936511671,2.11553053767688e-09,7.41187795817009e-05,0.0104144143049216,0.0780993254278335,0.123112305039595,0.176931789963304,0.308042282701583,0.656978218329118,0.022094444821741,0.0615217107897147,5882,4130,4008,308,27455.4003881216,17,1,2,1
330,165.681024491095,196.723626033538,0.187363650350384,0.49999674964775,19.4220435044342,0.2322,0.047,0.04,1,0,0.0246104973537202,0.00251440996873246,0.355591267914755,0.615262433843006,208.766780808581,8.81117086587262e-09,0.00016027403285703,0.00818667058373525,0.0786309904370281,0.124714560521842,0.178191746941193,0.318112381827178,0.615262433843006,0.0222740945797241,0.0628602492183114,5856,4090,3968,320,27467.123236955,18,1,2,1
331,165.718302646397,196.84457516492,0.18782640192097,0.499996780637132,19.2733180311067,0.2311,0.0461,0.04,1,0,0.024727195931368,0.00248927132188726,0.352036126383937,0.618179898284199,202.686455065338,8.99888869329088e-09,0.000120969907003743,0.00656067084626083,0.076318056753365,0.122438515061535,0.178153131649065,0.316409823192945,0.618179898284199,0.0216743030470702,0.0622317830471815,5744,3976,3870,300,27478.6553529893,18,1,2,1
