outer,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction
1.360000000000000000e+02,3.764279036001676104e+01,3.995138888888888906e-01,2.501388888888889106e-01,2.508333333333333526e-01
1.370000000000000000e+02,3.743646288580663395e+01,3.979166666666666408e-01,2.470833333333333215e-01,2.495138888888888962e-01
1.380000000000000000e+02,3.725154817952927289e+01,3.963194444444444464e-01,2.450694444444444509e-01,2.482638888888888951e-01
1.390000000000000000e+02,3.708456162986929883e+01,3.948611111111111072e-01,2.413888888888888751e-01,2.472222222222222321e-01
1.400000000000000000e+02,3.694111300889960603e+01,3.937499999999999889e-01,2.397222222222222254e-01,2.460416666666666585e-01
1.410000000000000000e+02,3.679617574489319054e+01,3.922222222222222499e-01,2.375694444444444442e-01,2.452083333333333337e-01
1.420000000000000000e+02,3.666132466948503321e+01,3.913194444444444420e-01,2.364583333333333259e-01,2.442361111111110983e-01
1.430000000000000000e+02,3.651086271564502539e+01,3.897916666666666474e-01,2.343750000000000000e-01,2.429861111111111249e-01
1.440000000000000000e+02,3.640897092465629470e+01,3.887499999999999845e-01,2.334722222222222199e-01,2.423611111111111105e-01
1.450000000000000000e+02,3.630517197922743833e+01,3.877777777777777768e-01,2.330555555555555436e-01,2.415972222222222132e-01
1.460000000000000000e+02,3.619696262962016675e+01,3.871527777777777901e-01,2.320138888888888806e-01,2.410416666666666541e-01
1.470000000000000000e+02,3.610382528230913834e+01,3.865972222222222032e-01,2.308333333333333348e-01,2.406250000000000056e-01
1.480000000000000000e+02,3.600724480913950742e+01,3.852777777777777746e-01,2.302083333333333204e-01,2.394444444444444320e-01
1.490000000000000000e+02,3.591796358113814591e+01,3.838194444444444353e-01,2.294444444444444509e-01,2.381944444444444309e-01
1.500000000000000000e+02,3.582242519462700869e+01,3.825694444444444620e-01,2.286805555555555536e-01,2.349305555555555591e-01
1.510000000000000000e+02,3.572979440464718692e+01,3.816666666666666541e-01,2.278472222222222288e-01,2.338888888888888962e-01
1.520000000000000000e+02,3.564109920968995482e+01,3.798611111111110938e-01,2.269444444444444486e-01,2.327777777777777779e-01
1.530000000000000000e+02,3.554738109160987847e+01,3.789583333333333415e-01,2.254166666666666541e-01,2.315972222222222321e-01
