mesh,k,evaluator,selected_ordinal_double,selected_ordinal_single,selected_ordinal_identical,escalation_double,escalation_single,final_requested_double,final_requested_single,relevant_classifier_mismatch,all_examined_classifier_mismatch_count,omega_double,omega_single,lambda_double,lambda_single,selected_min_abs_margin_double,selected_min_abs_margin_single
96x12,26,E1,1,1,1,0,0,3,3,0,0,88.2352295761779,88.2352288222106,7785.45573836083,7785.45560530786,0.0412330661863816,0.0412330634577182
96x12,26,E2,1,1,1,0,0,3,3,0,0,88.2350752425166,88.2350744893652,7785.42850305256,7785.42837014383,0.041233121964489,0.0412331192358215
96x12,26,E3,1,1,1,0,0,3,3,0,0,88.2350750875103,88.2350743351254,7785.42847569858,7785.42834292511,0.041233122020324,0.0412331192916547
96x12,27,E1,1,1,1,0,0,3,3,0,0,88.992935567834,88.9929342100262,7919.74258098066,7919.74233931006,0.0435308722368392,0.0435308673465931
96x12,27,E2,1,1,1,0,0,3,3,0,0,88.9927804369994,88.9927790790082,7919.71496990798,7919.71472820516,0.0435309324839396,0.0435309275936847
96x12,27,E3,1,1,1,0,0,3,3,0,0,88.9927802817003,88.9927789247706,7919.71494226698,7919.7147007531,0.043530932544247,0.0435309276539914
96x12,28,E1,1,1,1,0,0,3,3,0,0,89.7496996481215,89.7496975533051,8055.00858692802,8055.00821090973,0.0459265372322168,0.0459265288400383
96x12,28,E2,1,1,1,0,0,3,3,0,0,89.7495433500354,89.7495412557739,8054.98053153988,8054.98015562187,0.0459266021427116,0.0459265937505196
96x12,28,E3,1,1,1,0,0,3,3,0,0,89.7495431928074,89.7495410988731,8054.9805033176,8054.98012745831,0.0459266022076875,0.0459265938154949
96x12,29,E1,1,1,1,0,0,3,3,0,0,90.5029285067301,90.5029260665553,8190.78006829431,8190.77962660837,0.0483934650080633,0.0483934511121554
96x12,29,E2,1,1,1,0,0,3,3,0,0,90.5027708136677,90.5027683741662,8190.75152495126,8190.75108338798,0.0483935347565126,0.0483935208606004
96x12,29,E3,1,1,1,0,0,3,3,0,0,90.5027706561184,90.5027682155634,8190.75149643396,8190.75105467999,0.04839353482633,0.0483935209304198
96x12,30,E1,1,1,1,0,0,3,3,0,0,91.2519581939842,91.2519550306369,8326.91987423664,8326.91929691339,0.0509574544297446,0.0509574365900781
96x12,30,E2,1,1,1,0,0,3,3,0,0,91.2517986628199,91.2517955009798,8326.89075919982,8326.89018215264,0.0509575292221385,0.0509575113824661
96x12,30,E3,1,1,1,0,0,3,3,0,0,91.2517985030825,91.2517953399594,8326.89073004717,8326.89015276584,0.0509575292970064,0.0509575114573341
96x12,31,E1,1,1,1,0,0,3,3,0,0,91.9978252889209,91.9978214743473,8463.59985789082,8463.59915602587,0.0536119907001907,0.0536119702410143
96x12,31,E2,1,1,1,0,0,3,3,0,0,91.997663517083,91.9976597031128,8463.57009260242,8463.56939084975,0.0536120707416339,0.0536120502824462
96x12,31,E3,1,1,1,0,0,3,3,0,0,91.9976633553867,91.9976595411629,8463.57006285107,8463.56936105172,0.0536120708217551,0.0536120503625681
96x12,32,E1,1,1,1,0,0,3,3,0,0,92.7378933899042,92.7378968031566,8600.31687039723,8600.31750347293,0.0563468297786603,0.0563468486428884
96x12,32,E2,1,1,1,0,0,3,3,0,0,92.737728983714,92.737732397148,8600.28637705679,8600.28701016503,0.0563469152461711,0.0563469341104101
