=== run "FINAL_lp_240x30" ===
              a: 8
              b: 1
              t: 1
              E: 10000000
             nu: 0.3000
           rhom: 1
           nelx: 240
           nely: 30
             bc: 'a'
        support: 'mid'
          axial: 'both'
       elemType: 'Q4'
       massType: 'consistent'
              p: 3
     massInterp: '4'
         rhomin: 1.0000e-03
           rho0: 0.5000
        volfrac: 0.5000
              n: 1
           Nmax: 4
         rminEl: 3
       rminPhys: 0.0600
        tolMult: 0.0500
           move: 0.0050
        offDiag: 0
    innerSolver: 'lp'
     filterMode: 'diag'
       maxInner: 300
       tolInner: 0.0100
       minInner: 5
       maxOuter: 1600
       tolOuter: 1.0000e-03
         solver: 'eigs'
        threads: 1
        verbose: 1
           name: 'FINAL_lp_240x30'

  it    omega1    omega2    omega3    N sqrt(beta)  inner  cumIn  maxdrho       vol    conv
 312    167.06    173.08    203.87    2    167.10      1    312   0.0050     0.500     yes
 313    167.17    173.16    274.32    2    167.19      1    313   0.0050     0.500     yes
 314    167.08    173.08    205.60    2    167.11      1    314   0.0050     0.500     yes
 315    167.20    173.19    179.79    2    167.23      1    315   0.0050     0.500     yes
 316    167.09    173.07    226.21    2    167.12      1    316   0.0050     0.500     yes
 317    167.22    173.15    219.19    2    167.24      1    317   0.0050     0.500     yes
 318    133.15    167.10    173.08    1    167.15      1    318   0.0050     0.500     yes
 319    167.11    173.10    205.93    2    167.26      1    319   0.0050     0.500     yes
 320    167.09    172.98    249.98    2    167.13      1    320   0.0050     0.500     yes
 321    167.18    172.98    207.20    2    167.21      1    321   0.0050     0.500     yes
 322    167.11    172.86    240.67    2    167.15      1    322   0.0050     0.500     yes
 323    167.19    172.87    253.58    2    167.22      1    323   0.0050     0.500     yes
 324    167.13    172.78    259.43    2    167.15      1    324   0.0050     0.500     yes
 325    167.21    172.78    268.83    2    167.24      1    325   0.0050     0.500     yes
 326    167.12    172.68    231.24    2    167.15      1    326   0.0050     0.500     yes
 327    167.20    172.68    271.13    2    167.23      1    327   0.0050     0.500     yes
 328    167.13    172.59    254.74    2    167.15      1    328   0.0050     0.500     yes
 329    167.21    172.63    270.85    2    167.23      1    329   0.0050     0.500     yes
 330    167.12    172.51    179.76    2    167.22      1    330   0.0050     0.500     yes
 331    167.21    172.57    270.76    2    167.27      1    331   0.0050     0.500     yes
 332    167.15    172.53    185.58    2    167.20      1    332   0.0050     0.500     yes
 333    167.23    172.62    270.81    2    167.27      1    333   0.0050     0.500     yes
