outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,itersSinceMoveChange,moveDescent,maxAbs,rms,l2,r_rho,r_rho_below_thr,utilPersistCount,beta,betaStallRel,betaStallFires,objRelRange_W10,nInner,innerConv,multN,degen,multJ
34,152.622756711384,154.089889436861,0.00961280451938693,0.499972353490066,50.6702812660013,0.55140625,0.28484375,0.04,1,33,0,0.0278355921426248,0.00357731484859372,0.404726974060792,0.695889803565619,0,0,23326.900778699,0.0789243320062517,0,0.0168324210748189,15,1,2,1,0
35,152.768459830221,154.067054522707,0.00850041097442325,0.499966975287708,50.3555856775519,0.54796875,0.28484375,0.04,1,34,0,0.0271509359111398,0.00410325117666855,0.464229877109442,0.678773397778496,0,0,23376.9879901199,0.0677247957409189,0,0.0147493665365803,21,1,2,1,0
36,152.948084290896,154.223253269524,0.00833726675649437,0.499992096789661,50.1016031291057,0.54359375,0.28484375,0.04,1,35,0,0.0252573288684445,0.00342285398241394,0.387251721916204,0.631433221711113,0,0,23454.0793276082,0.0584736758609024,0,0.0138868777256211,16,1,2,1,0
37,153.086541543036,154.323886843812,0.00808265238932188,0.499978221786549,49.7016564522675,0.5371875,0.281875,0.04,1,36,0,0.0371221486845151,0.00539994180124477,0.610933674507661,0.928053717112877,0,0,23502.3156008189,0.0509797270360739,0,0.0128069875534745,28,1,2,1,0
38,153.289193680575,154.543275081119,0.00818114682733151,0.499966413773184,49.3718847500202,0.53078125,0.275625,0.04,1,37,0,0.0298713387704783,0.00441642504660882,0.499661455849473,0.746783469261958,0,0,23563.307167322,0.0451751498524523,0,0.012244713720866,25,1,2,1,0
39,153.462830699495,154.610857330697,0.00748081229812882,0.499980654058777,49.2192747586293,0.52828125,0.27375,0.04,1,38,0,0.0241576332152139,0.00255174732073019,0.288697253498067,0.603940830380348,0,0,23531.0633751755,0.0406472237207596,0,0.0117589915578637,9,1,2,1,0
40,153.463404530906,154.524237203617,0.00691261005158502,0.499987570818221,48.8833306374117,0.52296875,0.27015625,0.04,1,39,0,0.0292168793365725,0.00445245048126152,0.503737268511573,0.730421983414313,0,0,23625.6210411354,0.0362622291139909,0,0.0100237377145869,25,1,2,1,0
41,153.711193734859,154.768250403925,0.00687690104657324,0.499985318823021,48.5143160954729,0.5184375,0.26890625,0.04,1,40,0,0.0372062166520278,0.0054044003795688,0.61143810506244,0.930155416300695,0,0,23678.6565182472,0.0329827127010468,0,0.00994541581477034,31,1,2,1,0
42,153.873803669706,155.624381703469,0.0113767125528427,0.499975362066956,48.1901736118856,0.5159375,0.26671875,0.04,1,41,0,0.0357033726172149,0.00447403663038837,0.506179462499941,0.892584315430372,0,0,23729.2220918746,0.0303252596714238,0,0.00958187969901594,26,1,2,1,0
43,154.050448739668,155.452009580078,0.00909806399057543,0.49998796133237,47.9708849353493,0.51296875,0.26546875,0.04,1,42,0,0.0242781148753445,0.00319917891396911,0.361945776687451,0.606952871883612,0,0,23751.9570060582,0.0279405017048587,0,0.00931137877496358,16,1,2,1,0
44,154.185735335727,155.248600722338,0.00689340933061223,0.499969474680645,47.6834248754055,0.51015625,0.2640625,0.04,1,43,0,0.0273299687758469,0.00421835304065913,0.477252166478234,0.683249219396174,0,0,23810.1198318003,0.0260090444340154,0,0.00923402951558623,25,1,2,1,0
45,154.300029897973,155.754660109476,0.00942728405473958,0.499972174111429,47.4192058066805,0.50828125,0.26203125,0.04,1,44,0,0.0244815007855484,0.00376964692789661,0.426486864863156,0.61203751963871,0,0,23839.1091053319,0.0246364491136041,0,0.00879960226338095,23,1,2,1,0
