outer,omega1,omega2,omega3,omega4,omega5,gap12,N,nInner,cumInner,innerConv,dxNorm2,dxMax,moveMax,moveMean,vol,volErr,Mnd,beta,tOuter,tEig,tGrad,tInner
60,166.906985785027,191.439841249694,343.531803726499,592.26693382374,714.486656118973,0.146985192676501,2,17,1313,1,0.55664517684462,0.039489115916265,0.1,0.0359352223818376,0.499997084512803,-2.91548719688617e-06,0.125255000612954,27871.6982710629,6.92253095833333,0.17504,0.00885125,6.73784879166667
61,166.877592162077,191.938208266823,343.441241789105,593.501693347055,713.578201646765,0.15017364392702,2,18,1331,1,0.5362289049461,0.0377532691180877,0.1,0.0363809259041351,0.499997475209116,-2.52479088386215e-06,0.124676362777264,27860.6682153357,7.647216,0.173249666666667,0.00882841666666667,7.46437079166667
62,166.849840615356,192.417094566946,343.36294968396,594.659738034712,712.723852371282,0.153235111626692,2,18,1349,1,0.415658418846402,0.031179590162791,0.1,0.0357101814728845,0.499998011926735,-1.98807326468042e-06,0.124123511165739,27847.6762198269,6.82276670833333,0.171261416666667,0.00885625,6.64186029166667
63,166.844969804145,192.649863323441,343.340693945338,595.262796315206,712.332443238728,0.15466389876535,2,18,1367,1,0.406471679766523,0.025498513643024,0.1,0.0347665135998176,0.499998162673515,-1.83732648484369e-06,0.123694703533865,27845.1613825345,7.07196795833333,0.168703708333333,0.008875125,6.893598
64,166.829502885328,192.905270571549,343.303884963105,595.926232071858,711.871095786954,0.156301896458591,2,18,1385,1,0.365556979208228,0.0237821436680742,0.1,0.0346594273941461,0.499998303632722,-1.69636727775924e-06,0.123384887845212,27838.509073769,6.835209875,0.175513833333333,0.00879604166666667,6.6501245
65,166.813126863968,193.135598900398,343.233200311867,596.490545714868,711.42807124495,0.157796167072005,2,18,1403,1,0.375742475158744,0.0226913923144224,0.1,0.0341406411224418,0.499998389470134,-1.61052986602517e-06,0.123148910443776,27832.7568353276,7.54409029166667,0.174540125,0.00901395833333333,7.35974729166667
66,166.788555970451,193.41978005556,343.150580632653,597.191071926512,710.878873651413,0.159670571701735,2,22,1425,1,0.419338803505492,0.0247777191230715,0.1,0.0331932362944609,0.499998362393261,-1.6376067392132e-06,0.122899124343695,27825.3011699767,8.88879754166667,0.176653291666667,0.00902429166666667,8.70232745833333
67,166.761247382782,193.741498713376,342.995972265847,597.964736897875,710.270044811796,0.161789694872356,2,20,1445,1,0.370577581507642,0.0202459378267071,0.1,0.033065962052068,0.499998777953321,-1.22204667896142e-06,0.122767387491309,27814.1762557978,8.74163591666667,0.174570791666667,0.009034625,8.55723820833333
68,166.732546579818,194.027154045281,342.877388751821,598.682768465512,709.705292741203,0.163702936381388,2,18,1463,1,0.338735840400922,0.0162414980161758,0.1,0.0325809369051475,0.499998993225781,-1.00677421877027e-06,0.122702534663255,27803.5891979489,8.09125658333333,0.17436325,0.00904991666666667,7.90700670833333
69,166.701695647748,194.325222850688,342.726866038321,599.383958940661,709.149404869743,0.165706336072974,2,18,1481,1,0.313262928437102,0.0138311625808674,0.1,0.0318150346059951,0.499999158413528,-8.41586472399847e-07,0.122603029149964,27792.9323260848,8.03784808333333,0.17507475,0.00886254166666667,7.853110625
