outer,omega1,omega2,omega3,omega4,omega5,gap23,tOuter,tEig,tGrad,tInner,tOther,multN,multJ,degen,nInner,dxOuter,dxNorm2,move,stage,vol
157,161.67309013790623,172.218534889491,402.9488118763158,540.68643115997008,735.53042641360514,1.3397528734922728,6.2450030833333336,0.27184350000000002,0.018073124999999999,5.9538545000000003,0.0012319583333333384,2,0,1,18,0.019441461034823047,0.29755476417478627,0.040000000000000001,1,0.49999718879964333
158,161.70734873076327,172.35122689260109,403.10065075392362,541.06781278043525,735.54127268935224,1.338832499319031,6.2655583333333329,0.27050887499999998,0.018103041666666667,5.9758046250000003,0.0011417916666660588,2,0,1,18,0.019053750872065112,0.29977933328216355,0.040000000000000001,1,0.49999714635646342
159,161.74298731555734,172.48582689307037,403.2485587071352,541.44748791898155,735.57550258197818,1.3378648899490289,6.2280867083333336,0.26902220833333335,0.018306041666666668,5.939612125,0.0011463333333336934,2,0,1,18,0.019619629202824618,0.30496723357993999,0.040000000000000001,1,0.49999709389957409
160,161.78012294856711,172.62493600855129,403.39550628859683,541.83263298223983,735.63007733178301,1.3368321843642212,6.3333120000000003,0.26749075,0.018178375,6.0465116249999999,0.0011312500000002501,2,0,1,18,0.019820255252562691,0.31107536985909878,0.040000000000000001,1,0.49999697481825389
161,161.8172081107418,172.77005531637306,403.54726789369687,542.23503881844056,735.68239004960503,1.3357477495433407,5.9087846666666666,0.26781958333333333,0.018213666666666666,5.6216265833333336,0.0011248333333329086,2,0,1,17,0.019408363207104987,0.29636858298604768,0.040000000000000001,1,0.49999707824074169
162,161.85053522366528,172.90328061835709,403.69210173773416,542.6161126316,735.73523989130376,1.3347856691556279,6.2469573333333335,0.26804541666666665,0.020083416666666666,5.9576592916666664,0.0011692083333336711,2,0,1,18,0.022660186172401859,0.31360781937047461,0.040000000000000001,1,0.49999704811050777
163,161.88585500560265,173.04667628893009,403.84811482882276,543.02017984627594,735.8029628069263,1.3337525082222985,6.0021223333333333,0.26546608333333332,0.017740708333333334,5.7177894166666663,0.001126125000000755,2,0,1,17,0.018714599176490435,0.29472026796430484,0.040000000000000001,1,0.49999713947489022
164,161.91719272645099,173.18069502317496,403.97427118154485,543.3804433623767,735.87217736053105,1.3326749619955343,6.4709385416666665,0.26662979166666667,0.017742000000000001,6.1854334166666662,0.0011333333333336526,2,0,1,18,0.018667264708917834,0.31208197758573258,0.040000000000000001,1,0.49999715088987295
165,161.95254201285184,173.32380666362209,404.11305024969494,543.77412228118976,735.96584452954858,1.3315495893416229,6.5471752499999996,0.271816,0.017706458333333334,6.2564538750000001,0.0011989166666657169,2,0,1,18,0.019255957993494745,0.31506230078764125,0.040000000000000001,1,0.49999713755398456
166,161.98595517288939,173.47141322233861,404.23755657784375,544.15659198822243,736.05817415125193,1.3302834113637603,6.4736159583333333,0.26951158333333336,0.017912125000000001,6.1850374166666668,0.0011548333333335492,2,0,1,18,0.018117531528371502,0.32522657786519726,0.040000000000000001,1,0.49999708860707054
167,162.01906399430891,173.63067132891661,404.35889033976514,544.55431721659352,736.15749432834616,1.3288448247358866,6.5063182916666671,0.268636125,0.018726791666666666,6.2177758750000001,0.0011795000000009992,2,0,1,18,0.018400276758906198,0.32649397228530963,0.040000000000000001,1,0.49999706791417003
168,162.05268458298076,173.78838371960242,404.45596905544579,544.93061908149821,736.26514880714637,1.3272900086809731,6.8503575416666669,0.27008604166666667,0.018522958333333332,6.5606090000000004,0.0011395416666664104,2,0,1,18,0.018724818260155252,0.3626185253407756,0.040000000000000001,1,0.49999684729094335
169,162.08170538657524,174.02625652777476,404.58925984870467,545.50000683951589,736.31232465302116,1.3248748086707929,6.4998754999999999,0.28707591666666665,0.018300458333333332,6.1930564166666668,0.0014427083333332646,2,0,1,17,0.019247978036285723,0.32055273103272552,0.040000000000000001,1,0.49999702547790609
170,162.11943158152664,174.19735233604669,404.67028446614989,545.87130327888599,736.44701391274805,1.3230564588920644,6.6892383750000004,0.28396941666666664,0.018879583333333335,6.3850767916666671,0.0013125833333331727,2,0,1,17,0.019729318925199253,0.31538284454310062,0.040000000000000001,1,0.49999698867385495
171,162.15672336359808,174.3394372239124,404.71168422786582,546.18350300388772,736.60670021559235,1.3214006576611546,6.176441791666667,0.29867941666666664,0.019260166666666665,5.8573253333333337,0.0011768750000005213,2,0,1,17,0.020829322423689064,0.32938851746860492,0.040000000000000001,1,0.49999684171594405
172,162.19397136880013,174.49625655241186,404.7550069866661,546.51923117025649,736.79401874455516,1.3195626942581058,6.1045685416666666,0.28528237499999998,0.018865333333333335,5.7991565416666671,0.0012642916666658621,2,0,1,17,0.022435247508781994,0.32943273534339096,0.040000000000000001,1,0.4999968831865968
173,162.23066213038456,174.64262788026011,404.77527863560033,546.82776118799495,736.97008508070587,1.3177346994178629,5.7856401249999996,0.26410645833333335,0.017949625,5.5024457499999997,0.0011382916666669018,2,0,1,17,0.027976010134666614,0.34541790242690451,0.040000000000000001,1,0.49999666551264732
174,162.26712016128306,174.82496865115468,404.81577900856672,547.18790703812385,737.14853197073046,1.3155489866915702,5.7637351250000002,0.27097975000000002,0.018325500000000002,5.4733168333333335,0.0011130416666658149,2,0,1,17,0.032970742109267634,0.34246774174542527,0.040000000000000001,1,0.49999670356169279
175,162.30350390735521,174.98828267051709,404.8380969500526,547.50976197700504,737.33612168475622,1.3135154581310817,5.4045013749999997,0.26322070833333333,0.017832791666666667,5.1223094583333335,0.0011384166666665863,2,0,1,16,0.032134419321275212,0.32462324742432969,0.040000000000000001,1,0.49999668922652613
