iter,track_id,track_mac,mode1_tracking_loss,omega_1,omega_2,omega_3,omega_4,ld_strain_frac_1,ld_strain_frac_2,ld_strain_frac_3,ld_strain_frac_4,mac_best_1,mac_best_2,mac_best_3,mac_best_4
58,1,0.7774224185,0.2225775815,205.1063063,268.60919,505.5340727,853.7564683,0.02824117889,0.1317400199,0.06150866795,0.1675930877,0.7774224185,0.6968019461,0.9773742902,0.94463274
59,1,0.7812230291,0.2187769709,204.8777468,267.9054853,492.9890091,861.123894,0.02972225628,0.1446045027,0.05959993664,0.08269574052,0.7812230291,0.6934735103,0.9768253748,0.9560067401
60,1,0.7547025092,0.2452974908,203.869331,267.1339954,504.9951344,851.0691495,0.03105578796,0.1116938566,0.05705988516,0.07223845411,0.7547025092,0.6701742463,0.9775699544,0.9630303828
61,1,0.764948768,0.235051232,203.6951588,273.1073312,495.2006285,858.6019533,0.02817102684,0.09910308251,0.05197382603,0.07678441163,0.764948768,0.6553331991,0.9771096235,0.9456142356
62,1,0.7676313156,0.2323686844,204.8675554,265.7762928,503.8223468,853.4533052,0.02562138738,0.1461732616,0.07268756717,0.1053815006,0.7676313156,0.6840811619,0.9758437975,0.9274076203
63,1,0.7694653883,0.2305346117,204.1941146,268.0032578,492.7102375,859.6333903,0.03062923351,0.1491539248,0.05905590909,0.07241553446,0.7694653883,0.6792256404,0.9742178468,0.9572515472
64,1,0.7528601637,0.2471398363,204.5182421,265.6396095,504.5014338,852.3425017,0.03132229521,0.1305515122,0.06644585722,0.07916423317,0.7528601637,0.6716057565,0.9755453697,0.9570951586
65,1,0.7716534369,0.2283465631,204.1913231,273.129337,494.6747816,860.1945443,0.02449550145,0.1128918897,0.04965700739,0.0642991481,0.7716534369,0.6712214048,0.9742968047,0.954501674
66,1,0.7866015693,0.2133984307,205.047924,268.5413049,505.2103183,854.4425261,0.02631364543,0.1264748299,0.06110661186,0.1380070389,0.7866015693,0.7075322141,0.977097152,0.9499597489
67,1,0.7849382435,0.2150617565,205.1425768,268.2235692,493.8429218,862.2682946,0.02905275187,0.1480220728,0.060388684,0.08451064267,0.7849382435,0.6998684614,0.9764326196,0.9569193271
