outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,beta,l2,rms,maxAbs,tolOuter,epsRMS,stopRaw,settledMove,stopAdmitted,moveDescent,nActive_epsRMS,nActive_1e4,nActive_1e3,nActive_1e2,nInner,innerConv,multN,degen
239,169.904140850113,171.681573697492,0.0104613862763182,0.499989638302279,12.5986668452953,0.1396875,0.021875,0.04,1,29046.0027755672,0.443084150465361,0.00783269518575844,0.0399709916399101,0.05,0.000883883476483184,0,1,0,0,589,928,561,162,22,1,2,1
240,169.719827682128,171.668957956348,0.0114843993235179,0.499995394161883,12.6226104066075,0.1396875,0.021875,0.04,1,28956.5148858328,0.450895739145467,0.00797078586894701,0.0399748042035721,0.05,0.000883883476483184,0,1,0,0,588,1087,550,156,23,1,2,1
241,169.853374128119,171.724087252264,0.0110136942156605,0.499986896791768,12.6000135929009,0.1396875,0.0225,0.04,1,29029.695963924,0.429746386568414,0.00759691460332353,0.039970392186083,0.05,0.000883883476483184,0,1,0,0,673,1069,640,149,20,1,2,1
242,169.775428598997,171.863450872264,0.0122987306849839,0.49998609599574,12.5933977537974,0.14,0.021875,0.04,1,28953.8984754036,0.439613740283946,0.007771346421439,0.03996296846541,0.05,0.000883883476483184,0,1,0,0,587,1691,551,156,35,1,2,1
243,169.936962684362,171.689302406444,0.0103117043779144,0.499990080583106,12.5780516306939,0.1396875,0.021875,0.04,1,29050.7713016587,0.44537935047151,0.00787326897297162,0.03997055196292,0.05,0.000883883476483184,0,1,0,0,669,1734,635,155,22,1,2,1
244,169.819387124317,171.884591710683,0.01216118266199,0.499990824709856,12.6021961485149,0.1403125,0.021875,0.04,1,28976.3314542329,0.473488978255392,0.00837018168353694,0.0399647849849713,0.05,0.000883883476483184,0,1,0,0,723,1012,702,191,30,1,2,1
245,169.889010767346,171.807262984639,0.0112912083520218,0.49999148862226,12.5572397549795,0.1396875,0.0225,0.04,1,29064.8900318138,0.469167250008185,0.0082937835997858,0.0399715005239735,0.05,0.000883883476483184,0,1,0,0,687,1003,669,181,22,1,2,1
246,169.790749922933,171.851661193544,0.0121379478655184,0.499994273660412,12.5800989080584,0.1396875,0.0225,0.04,1,28963.379523228,0.440566313899233,0.00778818570301272,0.0399532211769298,0.05,0.000883883476483184,0,1,0,0,604,1810,591,178,24,1,2,1
247,169.924945837664,171.688596275115,0.0103789966138068,0.499986622549201,12.6120574895501,0.1396875,0.023125,0.04,1,29038.840152608,0.447912762750248,0.00791805379801755,0.0399717814002874,0.05,0.000883883476483184,0,1,0,0,605,1693,569,147,22,1,2,1
248,169.750763316319,171.751922472655,0.0117888079985058,0.499990424524947,12.6366207323689,0.1390625,0.0228125,0.04,1,28946.0524886167,0.442772978961241,0.00782719439874155,0.0399466461195358,0.05,0.000883883476483184,0,1,0,0,754,999,732,144,23,1,2,1
249,169.895297702852,171.883839881222,0.0117045156944154,0.499985458177573,12.5945506547766,0.1396875,0.0225,0.04,1,29032.6338243015,0.437394782787161,0.00773212042411047,0.0399746092619697,0.05,0.000883883476483184,0,1,0,0,781,1028,749,182,20,1,2,1
250,169.764257841395,171.887782778583,0.0125086691638679,0.499993363406222,12.6476743515001,0.1384375,0.02125,0.04,1,28959.8866191107,0.451636888409755,0.00798388766071324,0.0399462596479232,0.05,0.000883883476483184,0,1,0,0,736,1087,718,185,25,1,2,1
251,169.800559188773,171.707673551185,0.0112314963597492,0.4999792923353,12.5677469832262,0.139375,0.02125,0.04,1,29054.4469024578,0.491653171757802,0.0086912822935454,0.0399764617748813,0.05,0.000883883476483184,0,1,0,0,760,1167,743,198,33,1,2,1
252,169.767550855696,171.728075072185,0.0115482859156941,0.499996933651449,12.6883920351969,0.13875,0.02125,0.04,1,29005.1779188565,0.505396190410105,0.00893422683562082,0.0399786390522572,0.05,0.000883883476483184,0,1,0,0,716,1212,691,206,24,1,2,1
253,169.736668664127,171.573625559031,0.0108223927649856,0.49998704629935,12.596738119198,0.13875,0.02125,0.04,1,29043.5767665667,0.496662783145458,0.00877984054812843,0.039975999146289,0.05,0.000883883476483184,0,1,0,0,748,1259,734,197,33,1,2,1
254,169.767120233879,171.788458664196,0.0119065365986779,0.499991646991145,12.5828110137953,0.13875,0.020625,0.04,1,28976.07372252,0.467584934949105,0.00826581195707958,0.0399704026257716,0.05,0.000883883476483184,0,1,0,0,550,922,534,192,22,1,2,1
255,169.896672081939,171.706601915811,0.010653121168843,0.499992869406681,12.5975523371365,0.13875,0.021875,0.04,1,29042.204765913,0.438787262518456,0.00775673622062706,0.0399701545100988,0.05,0.000883883476483184,0,1,0,0,545,915,517,158,25,1,2,1
256,169.75426524579,171.732885611912,0.0116557917602634,0.499985805206926,12.6027172875848,0.138125,0.0225,0.04,1,28967.1327924404,0.449492639764827,0.00794598234177879,0.0399741305325347,0.05,0.000883883476483184,0,1,0,0,654,975,629,154,29,1,2,1
257,169.865699111349,171.727047538857,0.0109577650888074,0.49999211992581,12.6127261082551,0.13875,0.0225,0.04,1,29041.0053826615,0.450052671484328,0.00795588239744224,0.0399697958701191,0.05,0.000883883476483184,0,1,0,0,598,959,574,153,22,1,2,1
258,169.783518914546,171.958622990579,0.0128110436745515,0.499995052895844,12.599203466501,0.138125,0.0225,0.04,1,28962.1059070624,0.441940236454464,0.00781247345190344,0.039975012835181,0.05,0.000883883476483184,0,1,0,0,498,887,475,155,23,1,2,1
259,169.93582923153,171.990515090572,0.0120909514393342,0.499990115309121,12.5616178130647,0.13875,0.0221875,0.04,1,29056.8679361785,0.446881405542781,0.00789982180613691,0.0399712776091412,0.05,0.000883883476483184,0,1,0,0,469,969,435,159,21,1,2,1
260,169.800938042651,172.265675168672,0.0145154505883952,0.499995241607224,12.6082971739349,0.138125,0.023125,0.04,1,28982.1119152364,0.464016911750142,0.00820273762209413,0.0399760708343844,0.05,0.000883883476483184,0,1,0,0,662,1812,633,164,30,1,2,1
261,169.901570566113,172.125526672209,0.0130896736191751,0.499991441666032,12.5654507971997,0.1378125,0.023125,0.04,1,29059.9019242312,0.475764486071178,0.00841040735871656,0.0399735057026828,0.05,0.000883883476483184,0,1,0,0,663,1005,625,186,22,1,2,1
262,169.779314924392,172.344263260814,0.0151075432102255,0.499995137977853,12.5804178490094,0.1384375,0.023125,0.04,1,29000.0704776348,0.541425705834397,0.00957114470260537,0.0399711598169838,0.05,0.000883883476483184,0,1,0,0,695,942,682,294,41,1,2,1
263,169.866717643175,171.640368502265,0.0104414265707781,0.499994429871004,12.5200304425431,0.13875,0.023125,0.04,1,29090.8822102333,0.547437402124531,0.00967741748293507,0.039970095134452,0.05,0.000883883476483184,0,1,0,0,763,1010,747,247,27,1,2,1
264,169.766342615364,171.628882116357,0.010971194126585,0.499994668311684,12.6463568195238,0.13875,0.0225,0.04,1,29042.9826460249,0.625311193456639,0.0110540446311261,0.0399684676234791,0.05,0.000883883476483184,0,1,0,0,744,982,727,348,43,1,2,1
265,168.869960100516,171.13744393935,0.0134273960714177,0.499987833218286,12.5991784250407,0.13875,0.023125,0.04,1,29080.7815770768,0.601604801868751,0.0106349708748946,0.0399729605782575,0.05,0.000883883476483184,0,1,0,0,726,1107,720,343,34,1,2,1
266,168.655568625435,171.616300081937,0.0175548989021372,0.499996237586148,12.6465357600172,0.1375,0.021875,0.04,1,29057.8910870203,0.647754732535417,0.0114507940980368,0.0399730282400646,0.05,0.000883883476483184,0,1,0,0,774,1025,763,379,43,1,2,1
267,167.678779130369,171.780094158183,0.0244593564497808,0.499993839666063,12.5779688119234,0.136875,0.02125,0.04,1,29076.0222297839,0.592682721736896,0.0104772492908065,0.0399703073274238,0.05,0.000883883476483184,0,1,0,0,693,951,677,319,26,1,2,1
268,167.936435374673,171.90908331147,0.0236556642871057,0.499986881627513,12.6613519400727,0.13625,0.0225,0.04,1,28984.6480043825,0.546354313188448,0.00965827099465176,0.0399567946327763,0.05,0.000883883476483184,0,1,0,0,772,1044,763,270,24,1,2,1
269,168.209160855768,171.956869341337,0.0222800498290483,0.49999199868383,12.6099594742292,0.135625,0.02375,0.04,1,29027.6498550782,0.54127011371522,0.00956839419654114,0.039971605436327,0.05,0.000883883476483184,0,1,0,0,741,994,732,286,25,1,2,1
270,168.772701589728,171.953970937662,0.0188494307312042,0.499996320809722,12.6366266061829,0.135,0.023125,0.04,1,28997.1113561384,0.663486572092873,0.0117288963588272,0.0399565380071294,0.05,0.000883883476483184,0,1,0,0,707,977,689,397,36,1,2,1
271,169.510690534666,171.041324216312,0.00902971769401806,0.499988220758136,12.4997536199364,0.134375,0.0221875,0.04,1,29080.1530314163,0.58592388102702,0.0103577687383336,0.0399696324850796,0.05,0.000883883476483184,0,1,0,0,793,1759,785,280,26,1,2,1
272,169.715617032052,171.460157076555,0.010279195721706,0.499993015382062,12.573609474392,0.13625,0.021875,0.04,1,29025.1881244844,0.541329215798898,0.00956943898364492,0.0399589913879602,0.05,0.000883883476483184,0,1,0,0,721,1071,696,232,24,1,2,1
273,169.788847904388,171.425545973233,0.00963960877905594,0.49997022153809,12.5080463081698,0.135625,0.0225,0.04,1,29077.1933475029,0.547320703695487,0.0096753545266718,0.0399730502724802,0.05,0.000883883476483184,0,1,0,0,760,1056,747,234,29,1,2,1
274,169.793386457719,171.575393781645,0.0104951515550911,0.499997144979262,12.6262980352716,0.136875,0.023125,0.04,1,29078.6326004304,0.652845907010674,0.0115407941979283,0.0399702763046028,0.05,0.000883883476483184,0,1,0,0,773,1065,757,362,50,1,2,1
275,169.884081405777,170.393532021801,0.00299881314251237,0.499996468446353,12.5208533336508,0.136875,0.02375,0.04,1,29128.0680765998,0.6084221307503,0.0107554853619376,0.0399692651737493,0.05,0.000883883476483184,0,1,0,0,737,1082,723,276,26,1,2,1
276,169.791679693078,170.682979683911,0.00524937377640973,0.499988167121458,12.5507464338585,0.13625,0.021875,0.04,1,29033.7147003567,0.579276640748923,0.0102402610214132,0.0399661197408606,0.05,0.000883883476483184,0,1,0,0,791,969,788,276,32,1,2,1
277,169.749902282261,170.706661523275,0.00563628743316258,0.499985978348651,12.5352059176136,0.1365625,0.0225,0.04,1,29087.7906929845,0.570231309951279,0.0100803606527859,0.0399728465585772,0.05,0.000883883476483184,0,1,0,0,688,968,673,257,30,1,2,1
278,169.662633615044,171.079000165138,0.00834813488341502,0.499993412141217,12.5196005843313,0.13625,0.0215625,0.04,1,29043.4227917314,0.587932530570844,0.0103932769811703,0.0399783911246985,0.05,0.000883883476483184,0,1,0,0,706,1747,686,289,35,1,2,1
279,169.205764710945,170.935196751383,0.0102208813239433,0.499994898662002,12.540265259147,0.1371875,0.0225,0.04,1,29111.2382752185,0.607742256122956,0.0107434667629538,0.0399696334146278,0.05,0.000883883476483184,0,1,0,0,714,1004,701,338,47,1,2,1
280,168.549834532306,171.089863573154,0.0150698993439914,0.499994805500949,12.5810650327505,0.135625,0.021875,0.04,1,29059.9222502028,0.648322973449591,0.0114608392731308,0.0399899063326181,0.05,0.000883883476483184,0,1,0,0,827,1031,823,334,51,1,2,1
281,168.578804730502,170.930053097606,0.013947473235817,0.499994647625926,12.4939974088735,0.135,0.021875,0.04,1,29103.8362638749,0.616853217485187,0.0109045273270129,0.0399698514048047,0.05,0.000883883476483184,0,1,0,0,735,1896,720,301,26,1,2,1
282,168.788473646687,171.075938662376,0.0135522584348785,0.499991379959776,12.5466654347515,0.135625,0.021875,0.04,1,29065.4743276729,0.635764174752167,0.0112388289800682,0.0399760168809179,0.05,0.000883883476483184,0,1,0,0,795,1002,791,359,42,1,2,1
283,169.180544070215,170.726469414541,0.00913772533846752,0.499994272070765,12.4839164394001,0.13625,0.02125,0.04,1,29124.2989177816,0.633137079232064,0.0111923880536409,0.0399709682426086,0.05,0.000883883476483184,0,1,0,0,748,1076,739,318,38,1,2,1
284,169.304099221267,170.729946353251,0.00842181104026594,0.499997347058333,12.5075015995523,0.136875,0.0215625,0.04,1,29150.1117607034,0.690442411159228,0.012205412773737,0.0399861509944182,0.05,0.000883883476483184,0,1,0,0,747,1057,730,367,48,1,2,1
285,168.613641894056,170.534619557348,0.0113927772492967,0.499995772634812,12.4555101942977,0.1365625,0.0225,0.04,1,29163.0190235906,0.695821805401433,0.0123005079274205,0.0399870521359717,0.05,0.000883883476483184,0,1,0,0,770,1046,765,416,37,1,2,1
286,167.598625958485,170.819006303537,0.0192148373928176,0.499996316340986,12.487758406849,0.13375,0.021875,0.04,1,29165.0431710026,0.675165694719725,0.0119353560290211,0.0399850584342566,0.05,0.000883883476483184,0,1,0,0,766,1028,745,377,37,1,2,1
287,166.861670461223,171.114311603633,0.0254860276218951,0.499997858088414,12.3814029249577,0.1334375,0.0221875,0.04,1,29171.120771122,0.722923465318672,0.0127796021151428,0.0399810706452535,0.05,0.000883883476483184,0,1,0,0,814,995,813,431,52,1,2,1
288,165.523250544628,171.395248916696,0.0354753688847185,0.49998397750871,12.3973732955716,0.133125,0.0228125,0.04,1,29169.131670463,0.658280731172565,0.011636869223414,0.0399844745830372,0.05,0.000883883476483184,0,1,0,0,759,996,747,365,35,1,2,1
289,165.062909798394,171.577484055072,0.0394672204957171,0.499983691343399,12.4339140238757,0.1325,0.02375,0.04,1,29047.7864390288,0.564765832054679,0.00998374374070816,0.0399684924102026,0.05,0.000883883476483184,0,1,0,0,750,1763,736,357,25,1,2,1
290,165.886951224219,171.224367729763,0.0321750232080031,0.499968209884749,12.4644667056518,0.134375,0.024375,0.04,1,28952.7695792214,0.597025613592218,0.0105540214978279,0.0399669692455923,0.05,0.000883883476483184,0,1,0,0,829,1140,826,444,37,1,2,1
291,167.365896049073,170.674386928171,0.0197680110297265,0.499975412400895,12.5389087309148,0.135,0.0225,0.04,1,29044.8600682424,0.560386359082366,0.00990632486478952,0.0399744637997735,0.05,0.000883883476483184,0,1,0,0,813,1091,806,354,31,1,2,1
292,168.724863915036,170.207414107177,0.00878679145290648,0.499985958135289,12.4963964171576,0.1375,0.02375,0.04,1,28919.8373585123,0.49995653951212,0.0088380664846895,0.0399490123954259,0.05,0.000883883476483184,0,1,0,0,797,1092,780,280,24,1,2,1
293,169.650382262479,170.211890050976,0.0033097938301622,0.49997553293995,12.5491009235958,0.1371875,0.02375,0.04,1,28991.5507965379,0.464927749974939,0.00821883911922707,0.0399706951852577,0.05,0.000883883476483184,0,1,0,0,782,1010,763,258,26,1,2,1
294,169.617471930319,170.756380521469,0.00671457119474894,0.499986465287178,12.5070954555786,0.13625,0.023125,0.04,1,28913.7809556975,0.435397009897505,0.0076968044551718,0.0399869134478174,0.05,0.000883883476483184,0,1,0,0,702,1001,686,214,25,1,2,1
295,169.722753570862,171.151075300683,0.00841561723322122,0.499980658074606,12.492208296183,0.136875,0.0225,0.04,1,28976.3026055434,0.427896590900211,0.00756421452680362,0.0399759226544567,0.05,0.000883883476483184,0,1,0,0,751,1033,732,152,26,1,2,1
296,169.627795869395,171.219758420384,0.00938503352489814,0.499991142356343,12.493202141501,0.1375,0.0225,0.04,1,28907.7531586637,0.414896616330934,0.00733440527247393,0.0399819291067468,0.05,0.000883883476483184,0,1,0,0,575,939,550,136,21,1,2,1
297,169.705313316186,171.111870143847,0.00828823093499804,0.499994014467449,12.4974631888452,0.1375,0.021875,0.04,1,28942.1531286082,0.404679480115347,0.00715379011491522,0.0399709204272602,0.05,0.000883883476483184,0,1,0,0,572,879,525,124,22,1,2,1
298,169.60466036477,171.187836265561,0.00933450706711554,0.499992223401177,12.4907702770226,0.136875,0.0228125,0.04,1,28890.7495709994,0.394143816182239,0.00696754412963014,0.039984576773778,0.05,0.000883883476483184,0,1,0,0,516,853,490,122,20,1,2,1
299,169.716039050941,171.120847803368,0.00827740713418749,0.499986081342588,12.4722822396219,0.136875,0.023125,0.04,1,28937.2161711359,0.396592214350386,0.00701082610332368,0.0399744653818927,0.05,0.000883883476483184,0,1,0,0,548,885,511,124,24,1,2,1
300,169.615820105909,171.168704052288,0.00915530134753373,0.499950001767757,12.458443551797,0.1365625,0.023125,0.04,1,28916.3907061775,0.424602120542568,0.00750597596854595,0.0399447845169341,0.05,0.000883883476483184,0,1,0,0,573,998,539,139,32,1,2,1
301,169.723229096593,171.122550573694,0.00824472574879304,0.499991397675241,12.4538269680415,0.1365625,0.0225,0.04,1,28949.2051486416,0.411838013716589,0.00728033630623495,0.0399804344299732,0.05,0.000883883476483184,0,1,0,0,569,1007,529,130,20,1,2,1
302,169.635780513407,171.193562217822,0.009183096276622,0.499990369721495,12.4714731693139,0.1375,0.0225,0.04,1,28897.7549377562,0.423496796272269,0.00748643641137248,0.0399725283639914,0.05,0.000883883476483184,0,1,0,0,655,1734,626,132,26,1,2,1
303,169.695500534145,171.131787500508,0.00846390718576495,0.499990608773293,12.4552426524973,0.1375,0.023125,0.04,1,28931.1238689997,0.408244247594051,0.00721680689635384,0.0399773252934716,0.05,0.000883883476483184,0,1,0,0,679,1724,646,126,19,1,2,1
304,169.630190969793,171.141963633778,0.00891216743518331,0.499981713590459,12.4433108736338,0.1375,0.0225,0.04,1,28874.9278209041,0.391621902245028,0.00692296256846587,0.0399408194681188,0.05,0.000883883476483184,0,1,0,0,533,929,498,136,24,1,2,1
305,169.730936829386,170.769187507665,0.0061170385179869,0.499992842595541,12.4821287498344,0.138125,0.023125,0.04,1,28935.8578399958,0.388004243744635,0.00685901079702474,0.0399723063850257,0.05,0.000883883476483184,0,1,0,0,612,947,563,121,20,1,2,1
306,169.610980961126,170.828557381056,0.0071786414595926,0.499992774012917,12.4836417576927,0.136875,0.023125,0.04,1,28858.7148718788,0.394293185769992,0.0069701846358402,0.0399428716749276,0.05,0.000883883476483184,0,1,0,0,732,926,717,112,23,1,2,1
307,169.690879796,170.928918027768,0.00729584426255931,0.499991606467146,12.4621822067772,0.135625,0.023125,0.04,1,28928.010626346,0.396403498951097,0.00700749005485989,0.0399700986390914,0.05,0.000883883476483184,0,1,0,0,656,963,632,124,22,1,2,1
