outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,moveDescent,maxAbs,rms,l2,r_rho,Neff,u_min,u_P50,u_P75,u_P90,u_P95,u_P975,u_P99,u_max,u_mean,u_RMS,nActive_1e4,nActive_epsRMS,nActive_1e3,nActive_1e2,beta,nInner,innerConv,multN,degen
38,151.633283542943,152.352641758516,0.00474406541074547,0.499987254343837,52.9347906201133,0.5783,0.2859,0.04,1,0,0.0325291229072659,0.00433752701415248,0.613418953057411,0.813228072681647,355.606486350302,1.74761800469992e-07,0.0196442173447659,0.0601672715560918,0.172535770933462,0.256560538555125,0.323592286587193,0.466628096800366,0.813228072681647,0.0553066754290873,0.108438175353812,12524,9654,9176,1070,23051.8070681227,27,1,2,1
39,151.790989289069,152.990528385102,0.00790257117139318,0.499979353424216,52.6013762193245,0.5738,0.2858,0.04,1,0,0.0387518762287472,0.00418937585156934,0.59246721471677,0.96879690571868,233.745456013813,1.49030114851963e-08,0.0166417535092964,0.0561817722970278,0.150088417712275,0.249205181403967,0.323805574629994,0.458518627063053,0.96879690571868,0.0514166378473374,0.104734396289233,12600,9264,8930,994,23086.5470275071,27,1,2,1
40,151.985748639438,153.001667920721,0.00668430619565747,0.49999202005853,52.2941060524149,0.5695,0.2853,0.04,1,0,0.0396539379413568,0.00398469935304338,0.563521586705325,0.99134844853392,201.952144434035,2.31674708739157e-07,0.0145622515550193,0.0540048926140128,0.152832126925136,0.236886296247297,0.30871867419252,0.424425637827012,0.99134844853392,0.0495682702998431,0.0996174838260847,12506,8982,8574,854,23162.3299048778,24,1,2,1
41,152.155242052243,153.336852550887,0.00776582181926353,0.499982076717594,52.000030654874,0.5651,0.2846,0.04,1,0,0.0296707547298324,0.00373663832590306,0.528440459817521,0.741768868245811,317.201283912951,4.1511218723279e-07,0.0142566079289092,0.0517769108146976,0.140918039981167,0.222042550231602,0.287714608754793,0.419698175293146,0.741768868245811,0.0463876924612344,0.0934159581475766,12502,8932,8500,760,23190.7775193194,23,1,2,1
42,152.323258525788,153.008052967711,0.00449566565572882,0.499984344431115,51.7278678336771,0.5627,0.2835,0.04,1,0,0.0240092084236232,0.00361095794476611,0.510666569864711,0.600230210590581,452.396434083145,1.81452627619445e-06,0.0135811072939841,0.0490120941030976,0.138267096404164,0.221819532352604,0.275011324473062,0.407021538728269,0.600230210590581,0.0451116885196317,0.0902739486191528,12170,8670,8158,674,23222.2209795774,26,1,2,1
43,152.452656910394,153.385954466286,0.00612188449061044,0.499983854105667,51.4206110264204,0.5596,0.284,0.04,1,0,0.0283001092748423,0.00411854895973693,0.582450779615756,0.707502731871058,423.586623388086,5.73334425158019e-08,0.0165582423120378,0.0547524722029827,0.155802985836896,0.247449171330628,0.324708686806711,0.460360470190543,0.707502731871058,0.0515677143258386,0.102963723993423,12498,9288,8856,982,23288.3179324145,29,1,2,1
44,152.589460239918,153.960320128996,0.00898397495425176,0.49998570374269,51.0946090143777,0.5559,0.2839,0.04,1,0,0.0319303018246485,0.00425618066996432,0.601914842737375,0.798257545616211,355.356331710717,4.58192480326777e-07,0.0142363747201077,0.0606885093664832,0.152133580908834,0.248418210952169,0.34448179040876,0.479095385929981,0.798257545616211,0.0526032975944821,0.106404516749108,12322,9036,8746,978,23329.0373958998,29,1,2,1
45,152.7692795698,154.013882303293,0.0081469437899937,0.499984697492745,50.7729887806285,0.5523,0.2847,0.04,1,0,0.0255460851323496,0.00412742384778144,0.583705878319465,0.638652128308741,522.082845759797,6.53652090961386e-08,0.0164062669544184,0.0564617859883768,0.157265173960966,0.247594875746868,0.3377499039434,0.449749105458287,0.638652128308741,0.0519792577837935,0.103185596194536,12238,9228,8848,972,23386.2658745071,29,1,2,1
46,152.929586190224,154.201947289889,0.0083199146179702,0.499980672522827,50.5600338842996,0.5498,0.2847,0.04,1,0,0.0229739519645287,0.00291784113784298,0.412645050998768,0.574348799113217,322.61300042575,1.92263874548232e-06,0.0109689579522106,0.0472822570015453,0.109121829644334,0.162009446391212,0.230414994208328,0.32480181084387,0.574348799113217,0.0376084448559049,0.0729460284460744,12140,8570,8148,390,23414.4988831483,19,1,2,1
47,153.041049463267,153.981403017794,0.00614445312434126,0.499972377417218,50.2788741670943,0.5457,0.2852,0.04,1,0,0.0250048510358823,0.00369107759240554,0.521997199095135,0.625121275897058,435.800578232865,6.90699023796483e-08,0.0124355744145463,0.0523813760889087,0.134001175957287,0.212757171332138,0.299972352840054,0.414967448528296,0.625121275897058,0.0458150974612749,0.0922769398101386,12286,8610,8240,650,23460.4788210285,27,1,2,1
