k,max_abs_density_error,mean_abs_density_error,rms_density_error,max_relative_density_error,n_changed,n_single_equal_single_0p1,n_cross_rho_eff_0p1
2072,2.95403301819874e-08,3.15407839655314e-09,7.08271530209146e-09,5.53714298505979e-08,772,0,0
2073,2.95922143456195e-08,3.16521657924347e-09,7.10514580338749e-09,5.56576786925735e-08,772,9,9
2074,2.95403301819874e-08,3.16108101356146e-09,7.10026071452056e-09,5.53714298505979e-08,772,0,0
2075,2.96821954792748e-08,3.16566736753977e-09,7.11695452578384e-09,5.77161777429022e-08,775,9,9
2076,2.95403301819874e-08,3.11925643322078e-09,7.0069679739729e-09,5.53714298505979e-08,772,0,0
2077,2.95922143456195e-08,3.17394850719815e-09,7.07221415525293e-09,5.56576786925735e-08,777,9,9
2078,2.93922451932715e-08,3.10858355862111e-09,6.98426633562364e-09,5.5635731529607e-08,775,0,0
2079,2.95922143456195e-08,3.15226931418209e-09,7.02770008212948e-09,5.56576786925735e-08,769,8,8
2080,2.95569453356848e-08,3.17158151711936e-09,7.06223655215558e-09,5.5635731529607e-08,774,0,0
2081,2.95922143456195e-08,3.15877302972638e-09,6.97770929779152e-09,5.64641702720936e-08,774,7,7
2082,2.9309914606479e-08,3.12295933237571e-09,6.96929345275632e-09,5.50163682788664e-08,770,0,0
2083,2.96344638828216e-08,3.11582522128901e-09,7.02424856302079e-09,5.56576786925735e-08,770,7,7
2084,2.96056443804815e-08,3.0754805542596e-09,7.03899175390702e-09,5.48567966820346e-08,768,0,0
2085,2.96344638828216e-08,3.10829159753223e-09,7.0344568541391e-09,5.56576786925735e-08,776,8,8
2086,2.95422774021503e-08,3.0239196045476e-09,6.89878662281969e-09,5.5696848879821e-08,774,0,0
2087,2.95922143456195e-08,3.12265072214048e-09,7.05455157647337e-09,5.56576786925735e-08,775,9,9
2088,2.95403301819874e-08,3.08351233480443e-09,7.00154632078885e-09,5.5696848879821e-08,777,0,0
2089,2.95922143456195e-08,3.05693323303017e-09,6.93672229275877e-09,5.64641702720936e-08,773,7,7
2090,2.95295912167148e-08,3.09201376907996e-09,7.00418245576101e-09,5.48567966820346e-08,770,0,0
2091,2.9346493346516e-08,3.07205350394036e-09,6.98145903109155e-09,5.64641702720936e-08,775,8,8
2092,2.95403301819874e-08,3.01914657801995e-09,6.90689678285316e-09,5.5635731529607e-08,775,0,0
2093,2.92086699271721e-08,3.06307797434068e-09,6.886528209272e-09,5.43454115451033e-08,772,8,8
2094,2.9279235591595e-08,3.08417301312394e-09,6.90294014098764e-09,5.48567966820346e-08,777,0,0
2095,2.93156163788666e-08,3.11504646179562e-09,6.98553314186677e-09,5.64641702720936e-08,769,8,8
2096,2.93907227444379e-08,3.08221023433084e-09,6.93427989662507e-09,5.48567966820346e-08,775,0,0
2097,2.93156163788666e-08,3.11289287298788e-09,7.00368698218542e-09,5.64641702720936e-08,773,8,8
2098,2.95027571262096e-08,3.19162324541399e-09,7.20837701907728e-09,5.48567966820346e-08,773,0,0
2099,2.97286044670386e-08,3.22407594131332e-09,7.19430800360678e-09,5.52250113521295e-08,769,9,9
2100,2.95027571262096e-08,3.23948842225162e-09,7.30486458658999e-09,5.64322567485901e-08,770,0,0
2101,2.97286044670386e-08,3.25681438433759e-09,7.28063179536727e-09,5.52250113521295e-08,774,10,10
2102,2.95027571262096e-08,3.20077398385599e-09,7.25646255490989e-09,5.64322567485901e-08,772,0,0
2103,2.979330615549e-08,3.20260706896332e-09,7.21158135871077e-09,5.52250113521295e-08,775,9,9
2104,2.95027571262096e-08,3.15315418747396e-09,7.2036442697767e-09,5.64322567485901e-08,772,0,0
2105,2.97286044670386e-08,3.0989697111505e-09,7.00779566038197e-09,5.52250113521295e-08,773,9,9
2106,2.95027571262096e-08,3.12925095869206e-09,7.08370849690986e-09,5.64322567485901e-08,774,0,0
2107,2.979330615549e-08,3.21565107818e-09,7.18932651192171e-09,5.43454113410182e-08,774,9,9
2108,2.9309914606479e-08,3.19137977256693e-09,7.19173195369901e-09,5.43454113410182e-08,772,0,0
2109,2.979330615549e-08,3.29542816654909e-09,7.32114607875716e-09,5.43454113410182e-08,774,8,8
2110,2.9309914606479e-08,3.21238754962444e-09,7.25991856950629e-09,5.78001839759648e-08,769,0,0
2111,2.979330615549e-08,3.29253843408566e-09,7.27778742628735e-09,5.43454113410182e-08,775,9,9
2112,2.94449680193765e-08,3.35516260377777e-09,7.29285652023489e-09,5.78001839759648e-08,775,0,0
2113,2.97286044670386e-08,3.40050737736879e-09,7.41862971892006e-09,5.45818182595486e-08,771,9,9
2114,2.93514829108332e-08,3.40989466340607e-09,7.42316932363259e-09,5.78001839759648e-08,774,0,0
2115,2.97286044670386e-08,3.401482252864e-09,7.44233426579851e-09,5.45818182595486e-08,770,9,9
2116,2.96295460389118e-08,3.44197726725523e-09,7.58093008617912e-09,5.59350718922066e-08,770,0,0
2117,2.97286044670386e-08,3.49967378715311e-09,7.65361536072012e-09,5.54065863758254e-08,774,9,9
2118,2.96240026953498e-08,3.46523388240268e-09,7.66186944109528e-09,5.78001839759648e-08,773,0,0
2119,2.9355182062929e-08,3.49238853982479e-09,7.77626001380997e-09,5.54065863758254e-08,772,11,11
2120,2.96374988995041e-08,3.47659509922968e-09,7.77176200087118e-09,5.59350718922066e-08,770,0,0
2121,2.96246027708946e-08,3.48717597993645e-09,7.76004120590652e-09,5.54065863758254e-08,773,8,8
2122,2.96374988995041e-08,3.46222839062272e-09,7.73947594894706e-09,5.59350718922066e-08,775,0,0
2123,2.97286044670386e-08,3.47587115682873e-09,7.70505380234205e-09,5.45818182595486e-08,770,9,9
2124,2.9723208450072e-08,3.51829211363287e-09,7.76605808252256e-09,5.78001839759648e-08,771,0,0
2125,2.91778589067704e-08,3.56047042480006e-09,7.77333347232954e-09,5.54065863758254e-08,770,8,8
2126,2.9723208450072e-08,3.50507832608505e-09,7.76664783196132e-09,5.29089333612181e-08,772,0,0
2127,2.97825069051072e-08,3.50554040394781e-09,7.68960079810097e-09,5.54065863758254e-08,769,9,9
2128,2.9723208450072e-08,3.50695690226422e-09,7.74513391604104e-09,5.78001839759648e-08,778,0,0
2129,2.97428679463252e-08,3.54342610873287e-09,7.80082510874365e-09,5.45818182595486e-08,776,8,8
2130,2.96374988995041e-08,3.5168247908053e-09,7.80517569694124e-09,5.78001839759648e-08,772,0,0
2131,2.97825069051072e-08,3.54079592804478e-09,7.85004091637927e-09,5.52250113521295e-08,778,9,9
2132,2.96240026953498e-08,3.50948578057879e-09,7.81682242992841e-09,5.52114723715389e-08,769,0,0
2133,2.97825069051072e-08,3.45641701563181e-09,7.76045306605102e-09,5.52250113521295e-08,768,9,9
2134,2.94449680193765e-08,3.41531410258493e-09,7.63460016017403e-09,5.52114723715389e-08,769,0,0
2135,2.96064838201104e-08,3.46090128883065e-09,7.71987239994764e-09,5.52250113521295e-08,774,8,8
2136,2.95403301819874e-08,3.45690743391255e-09,7.66013151243927e-09,5.52114723715389e-08,773,0,0
2137,2.979330615549e-08,3.44969571836142e-09,7.65095742128797e-09,5.43454115451033e-08,769,9,9
2138,2.9723208450072e-08,3.48469236131179e-09,7.72975785048565e-09,5.52114723715389e-08,772,0,0
2139,2.979330615549e-08,3.43851954744243e-09,7.63673340231217e-09,5.43454115451033e-08,768,9,9
2140,2.9723208450072e-08,3.46276753586853e-09,7.65834740935579e-09,5.52114723715389e-08,771,0,0
2141,2.94088364771738e-08,3.42250272208531e-09,7.63564082472776e-09,5.43454115451033e-08,769,9,9
2142,2.9723208450072e-08,3.48056602352368e-09,7.71923084799981e-09,5.52114723715389e-08,771,0,0
2143,2.94088364771738e-08,3.43592816947445e-09,7.65581182540992e-09,5.43454115451033e-08,768,10,10
2144,2.95403301819874e-08,3.4734586994692e-09,7.70500964503977e-09,5.52114723715389e-08,771,0,0
2145,2.94196823569237e-08,3.42339266827933e-09,7.6457367152866e-09,5.43454115451033e-08,768,10,10
2146,2.95403301819874e-08,3.44160424627015e-09,7.64336042400204e-09,5.52114723715389e-08,771,0,0
2147,2.94196823569237e-08,3.38653296730952e-09,7.6146437753812e-09,5.43454115451033e-08,768,10,10
2148,2.95403301819874e-08,3.40452750699706e-09,7.60410558224163e-09,5.52114723715389e-08,771,0,0
2149,2.94196823569237e-08,3.38716869803238e-09,7.60660963298405e-09,5.43454115451033e-08,768,10,10
2150,2.95403301819874e-08,3.42600796916524e-09,7.64837338326563e-09,5.52114723715389e-08,771,0,0
2151,2.94196823569237e-08,3.38082589453649e-09,7.59239517095634e-09,5.52250113521295e-08,768,10,10
2152,2.97496387524632e-08,3.43674894066586e-09,7.67306981117283e-09,5.52114723715389e-08,772,0,0
2153,2.94196823569237e-08,3.37025360180378e-09,7.54776501270623e-09,5.52250113521295e-08,768,9,9
2154,2.97981298524874e-08,3.37884184167745e-09,7.57460109338756e-09,5.75533562647246e-08,771,0,0
2155,2.9346493346516e-08,3.31238991650539e-09,7.46872331039061e-09,5.52250113521295e-08,768,9,9
2156,2.97981298524874e-08,3.3455960885489e-09,7.47632690402649e-09,5.75533562647246e-08,771,0,0
2157,2.9346493346516e-08,3.35118378846648e-09,7.48805869011258e-09,5.52250113521295e-08,770,10,10
2158,2.97981298524874e-08,3.40902241255513e-09,7.57323441778122e-09,5.75533562647246e-08,770,0,0
2159,2.9346493346516e-08,3.3785172058819e-09,7.54280996591301e-09,5.52250113521295e-08,769,10,10
2160,2.97981298524874e-08,3.42157805666092e-09,7.63342866547493e-09,5.75533562647246e-08,772,0,0
2161,2.93054628341949e-08,3.38168756273208e-09,7.57062233857895e-09,5.52250113521295e-08,768,9,9
2162,2.97981298524874e-08,3.38661061051875e-09,7.54744795161937e-09,5.75533562647246e-08,771,0,0
2163,2.93054628341949e-08,3.35152102137479e-09,7.51706423291385e-09,5.52250113521295e-08,767,10,10
2164,2.97981298524874e-08,3.39225647744318e-09,7.5615351446435e-09,5.75533562647246e-08,773,0,0
2165,2.9346493346516e-08,3.35036202937451e-09,7.51543980268769e-09,5.52250113521295e-08,767,10,10
2166,2.95572316622028e-08,3.41304229867912e-09,7.56549545913535e-09,5.63052158776007e-08,771,0,0
2167,2.97929491077653e-08,3.38076680976643e-09,7.4965315613388e-09,5.52250113521295e-08,768,10,10
2168,2.96295460389118e-08,3.32910252550054e-09,7.466586898711e-09,5.63052158776007e-08,770,0,0
2169,2.97929491077653e-08,3.33536253495802e-09,7.46836043301058e-09,5.52250113521295e-08,768,10,10
2170,2.97981298524874e-08,3.38041685771501e-09,7.5583164185014e-09,5.75533562647246e-08,771,0,0
2171,2.97929491077653e-08,3.41175802490688e-09,7.58035263851776e-09,5.52250113521295e-08,769,9,9
2172,2.97981298524874e-08,3.35815900088629e-09,7.56459066953157e-09,5.75533562647246e-08,770,0,0
2173,2.97929491077653e-08,3.37848154338059e-09,7.56342187771373e-09,5.52250113521295e-08,769,11,11
2174,2.96056443804815e-08,3.35776934560468e-09,7.53773402568646e-09,5.59350718922066e-08,769,0,0
2175,2.95785310688856e-08,3.35644710018152e-09,7.51368070001032e-09,5.43454115451033e-08,766,10,10
2176,2.96056443804815e-08,3.3251053956711e-09,7.47128040268092e-09,5.59350718922066e-08,770,0,0
2177,2.9355182062929e-08,3.36564626940714e-09,7.51285579840467e-09,5.43454115451033e-08,767,10,10
2178,2.96056443804815e-08,3.32903763989348e-09,7.47226873250154e-09,5.59350718922066e-08,768,0,0
2179,2.9355182062929e-08,3.37652771650151e-09,7.5409646415465e-09,5.43454115451033e-08,767,10,10
