k,role,representation,evaluator,python_selected_ordinal,matlab_selected_ordinal,ordinal_identical,python_selected_omega,matlab_selected_omega,relative_omega_difference,voidKE,voidSE,densityParticipation,IPR
2100,representative,double,E1,1,1,True,162.311735168463,162.31173516844066,1.376330774180594e-13,0.010625258116344443,0.0002223438861346927,0.908312202810794,0.0033847501179489915
2100,representative,double,E2,1,1,True,162.7702810645002,162.7702810641504,2.149129419587013e-12,0.004904074742146427,9.591791205289332e-05,0.9135517299068812,0.0030938330410420116
2100,representative,double,E3,1,1,True,162.77027804687137,162.770278046705,1.0221810087333272e-12,0.004904071923469976,9.58854191542406e-05,0.9135517000429186,0.0030938897516949704
2100,representative,single,E1,1,1,True,162.3117352446139,162.31173524447885,8.321022691911243e-13,0.010625258142602624,0.00022234386366116863,0.9083122032861283,0.0033847499922442263
2100,representative,single,E2,1,1,True,162.77028113337408,162.77028113308975,1.7468224491747208e-12,0.004904074835719934,9.591789917609446e-05,0.9135517302289766,0.0030938329031495442
2100,representative,single,E3,1,1,True,162.77027811573703,162.77027811549968,1.4581881790782688e-12,0.004904072016999701,9.588540641020479e-05,0.9135517003642454,0.0030938896152222822
2200,representative,double,E1,1,1,True,162.51409117582963,162.5140911757748,3.3735829979167924e-13,0.008615952120823294,0.00012699730165387105,0.9099179578493755,0.0025610331317179737
2200,representative,double,E2,1,1,True,162.9046428981042,162.9046428978175,1.7600370353701989e-12,0.003109877509885931,8.719208295041454e-05,0.9106242894696002,0.002790641485412267
2200,representative,double,E3,1,1,True,162.90464091529998,162.9046409150362,1.619241070984322e-12,0.003109847626924585,8.717059218728538e-05,0.9106239392593002,0.0027906973305122495
2200,representative,single,E1,1,1,True,162.5140912078079,162.5140912078574,3.046543069575372e-13,0.008615952908192483,0.00012699732340177593,0.9099179599133503,0.0025610334288323454
2200,representative,single,E2,1,1,True,162.9046429845831,162.90464298435532,1.3981896108211718e-12,0.0031098777940062176,8.7192043578594e-05,0.9106242937000321,0.0027906408601526583
2200,representative,single,E3,1,1,True,162.90464100180748,162.90464100141034,2.4378467269548018e-12,0.0031098479108009214,8.717055288811571e-05,0.9106239434867832,0.0027906967056755944
3200,representative,double,E1,1,1,True,162.51292580491588,162.51292580488908,1.6492024779031252e-13,0.009221040407752824,0.00019137705908789897,0.9108797319414679,0.002957796151705769
3200,representative,double,E2,1,1,True,162.89183704567355,162.89183704563536,2.345039393457225e-13,0.004709352124709525,0.00010209745178202635,0.9148411260628998,0.0027791449781989393
