mesh,k,representation,evaluator,batch_schedule,final_requested,escalation,mode,lambda,omega,residual,eigenpair_valid,diagnostic_finite,voidKE,voidSE,densityParticipation,IPR,pass_KE,pass_SE,pass_P,valid_structural,selected
96x12,3,double,E1,3,3,0,2,68268.206530637821,261.28185266228849,6.8553931119555501e-12,1,1,0,0,0.50194495207170708,0.0012324183215144198,1,1,1,1,0
96x12,3,double,E1,3,3,0,3,195854.79430940794,442.55484892768709,6.4469381473893561e-13,1,1,0,0,0.5025717370628795,0.0010045905323773517,1,1,1,1,0
96x12,3,single,E1,3,3,0,1,5014.6309435582671,70.814058940003335,2.5593512347325827e-11,1,1,0,0,0.50417977733968777,0.0012812636259926238,1,1,1,1,1
96x12,3,single,E1,3,3,0,2,68268.203270365702,261.28184642329381,6.9819096472922391e-12,1,1,0,0,0.50194494983244842,0.0012324183175441783,1,1,1,1,0
96x12,3,single,E1,3,3,0,3,195854.79324232767,442.5548477220961,6.4149578085918092e-13,1,1,0,0,0.5025717341671343,0.0010045905228629804,1,1,1,1,0
96x12,3,double,E2,3,3,0,1,5014.6038801179075,70.813867851699129,2.7124318794368749e-11,1,1,0,0,0.50417978248373774,0.0012812636276016455,1,1,1,1,1
96x12,3,double,E2,3,3,0,2,68267.824498990856,261.28112158935414,6.7803026347213311e-12,1,1,0,0,0.50194495266603578,0.0012324183295249792,1,1,1,1,0
96x12,3,double,E2,3,3,0,3,195853.63015481486,442.55353365984422,7.1626496449998778e-13,1,1,0,0,0.50257173813494505,0.001004590567309453,1,1,1,1,0
96x12,3,single,E2,3,3,0,1,5014.6035741358301,70.813865691231896,2.8433990801385817e-11,1,1,0,0,0.50417977811173065,0.0012812636235911932,1,1,1,1,1
96x12,3,single,E2,3,3,0,2,68267.821238700009,261.28111535030621,6.9254293465868552e-12,1,1,0,0,0.50194495042677578,0.0012324183255547154,1,1,1,1,0
96x12,3,single,E2,3,3,0,3,195853.62908770295,442.55353245421389,6.4425531583337454e-13,1,1,0,0,0.5025717352391974,0.0010045905577950468,1,1,1,1,0
96x12,3,double,E3,3,3,0,1,5014.6038527139635,70.813867658206348,2.5695724023595766e-11,1,1,0,0,0.50417978248451045,0.0012812636275991781,1,1,1,1,1
96x12,3,double,E3,3,3,0,2,68267.824116558913,261.28112085751417,6.8564948032375974e-12,1,1,0,0,0.50194495266663064,0.0012324183295329945,1,1,1,1,0
96x12,3,double,E3,3,3,0,3,195853.62898948271,442.553532343244,7.0699308652972589e-13,1,1,0,0,0.50257173813601796,0.0010045905673444302,1,1,1,1,0
96x12,3,single,E3,3,3,0,1,5014.6035467085594,70.813865497574412,2.7265261885045587e-11,1,1,0,0,0.50417977811250392,0.0012812636235889092,1,1,1,1,1
96x12,3,single,E3,3,3,0,2,68267.820856275968,261.2811146184813,7.029630838408663e-12,1,1,0,0,0.50194495042737075,0.0012324183255627542,1,1,1,1,0
96x12,3,single,E3,3,3,0,3,195853.62792238753,442.5535311376326,7.0348427645768348e-13,1,1,0,0,0.50257173524027099,0.0010045905578300333,1,1,1,1,0
96x12,4,double,E1,3,3,0,1,5122.1592502440744,71.569261909314633,2.5011196107790599e-11,1,1,0,0,0.50571532420278065,0.0012828359219354737,1,1,1,1,1
96x12,4,double,E1,3,3,0,2,69415.192856329872,263.46763151539102,6.579975890023922e-12,1,1,0,0,0.50272130174873908,0.001233792412489092,1,1,1,1,0
96x12,4,double,E1,3,3,0,3,196197.01875608251,442.94132653894752,6.6061328866674576e-13,1,1,0,0,0.50361063972330444,0.0010078970102993486,1,1,1,1,0
96x12,4,single,E1,3,3,0,1,5122.1588695555683,71.569259249733534,2.5413378086376553e-11,1,1,0,0,0.50571530820485322,0.0012828359204557749,1,1,1,1,1
96x12,4,single,E1,3,3,0,2,69415.187947820275,263.46762220018661,6.7706856772736122e-12,1,1,0,0,0.50272128660967697,0.0012337924118726313,1,1,1,1,0
