outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,beta,l2,rms,maxAbs,tolOuter,epsRMS,stopRaw,settledMove,stopAdmitted,moveDescent,nActive_epsRMS,nActive_1e4,nActive_1e3,nActive_1e2,nInner,innerConv,multN,degen
171,166.633827570327,194.018727865385,0.164341782784173,0.499993187529254,16.2728159209276,0.1915625,0.03640625,0.04,1,27797.8606042321,0.439979017658354,0.00388890183707523,0.0379567521865828,0.1,0.000883883476483184,0,1,0,0,2922,3714,2826,486,16,1,2,1
172,166.719377191398,194.369812984375,0.165850162463326,0.499994048447451,16.1197697330874,0.19,0.03546875,0.04,1,27828.4433323913,0.421359432250247,0.00372432639826329,0.0397473465267927,0.1,0.000883883476483184,0,1,0,0,2630,3708,2526,402,15,1,2,1
173,166.654860514151,194.618308102282,0.167792571436927,0.499994053011338,15.9012444990368,0.188125,0.03484375,0.04,1,27801.8739501515,0.39587530445342,0.00349907640354127,0.0386559690768497,0.1,0.000883883476483184,0,1,0,0,2618,4078,2484,364,16,1,2,1
174,166.750989818011,194.819937741115,0.1683285235892,0.499994640005283,15.7884026582514,0.18703125,0.03515625,0.04,1,27833.4185360957,0.37853662098847,0.00334582264535487,0.0396661409235199,0.1,0.000883883476483184,0,1,0,0,2462,4024,2362,322,14,1,2,1
175,166.691116115759,195.034658180792,0.170036308625772,0.499994452141514,15.589802173682,0.18484375,0.03515625,0.04,1,27812.0919673002,0.380570136966378,0.00336379655707524,0.0380401739683114,0.1,0.000883883476483184,0,1,0,0,2502,3776,2364,314,16,1,2,1
176,166.77584895809,195.21495772605,0.170522944093105,0.499994973968389,15.4890082647389,0.184375,0.0353125,0.04,1,27842.0009585463,0.376603737961696,0.00332873821166146,0.0396978879299868,0.1,0.000883883476483184,0,1,0,0,2368,3856,2276,284,14,1,2,1
177,166.707496517739,195.421396713211,0.172241205676178,0.499994537900648,15.3060174711558,0.1825,0.034375,0.04,1,27816.6874576341,0.374286548576037,0.0033082569575628,0.0378870088969322,0.1,0.000883883476483184,0,1,0,0,2388,3666,2286,280,16,1,2,1
178,166.793115607125,195.591428608904,0.172658882813917,0.499995335877461,15.2023934331045,0.18125,0.03390625,0.04,1,27847.1349637835,0.383978560093395,0.00339392304590357,0.0397424776310473,0.1,0.000883883476483184,0,1,0,0,2316,3636,2210,276,15,1,2,1
179,166.722112062929,195.804808061123,0.174438145236646,0.49999474641215,15.0264777706795,0.17984375,0.0334375,0.04,1,27820.7931445832,0.367785513919203,0.0032507953864306,0.0378261578767467,0.1,0.000883883476483184,0,1,0,0,2252,3626,2154,246,16,1,2,1
180,166.804931207908,195.987985254116,0.174953185345782,0.499995454423866,14.9305633668335,0.1765625,0.03359375,0.04,1,27849.8174070432,0.373835270426415,0.00330426818456531,0.0397417050386667,0.1,0.000883883476483184,0,1,0,0,2196,3586,2120,250,15,1,2,1
181,166.73057792487,196.198119101424,0.176737473973324,0.499995018622908,14.7649716555696,0.17484375,0.0334375,0.04,1,27822.2952987099,0.359438710213096,0.00317701936765783,0.0373654138575657,0.1,0.000883883476483184,0,1,0,0,2158,3500,2080,222,16,1,2,1
182,166.813271097292,196.379687410822,0.177242590586727,0.499995715460997,14.6783778743556,0.17234375,0.03328125,0.04,1,27849.2982135335,0.355367702797565,0.00314103640578555,0.0397266775622662,0.1,0.000883883476483184,0,1,0,0,2170,3572,2084,224,15,1,2,1
183,166.741888748064,196.580450184693,0.1789506023991,0.499995524809603,14.540001215095,0.1696875,0.03328125,0.04,1,27823.7593538777,0.354895465031723,0.00313686237420356,0.0366131526272195,0.1,0.000883883476483184,0,1,0,0,2186,3282,2090,224,16,1,2,1
184,166.803920484508,196.837469543621,0.180053016571052,0.499995894151559,14.4687476768531,0.16640625,0.033125,0.04,1,27844.4886397475,0.335222799097728,0.00296297893062924,0.0396648646407039,0.1,0.000883883476483184,0,1,0,0,2140,3344,2054,202,15,1,2,1
185,166.72435853172,197.019097667519,0.181705537226796,0.499996630912357,14.3486906208271,0.16453125,0.03296875,0.04,1,27813.9230920603,0.32298228002651,0.00285478700512297,0.0352865422355454,0.1,0.000883883476483184,0,1,0,0,2258,3238,2156,184,17,1,2,1
186,166.785628180741,197.269943225261,0.182775430815208,0.499997012331453,14.2829967075365,0.16375,0.03390625,0.04,1,27832.0928419538,0.290428115965468,0.00256704612808019,0.0389736314452631,0.1,0.000883883476483184,0,1,0,0,2102,3352,2018,160,16,1,2,1
187,166.725802304655,197.457391195476,0.184324132593858,0.499997451138402,14.1917558770689,0.16234375,0.03359375,0.04,1,27809.2962130743,0.276249247395125,0.00244172145163467,0.0282900661337303,0.1,0.000883883476483184,0,1,0,0,2134,3228,2038,150,17,1,2,1
188,166.773572478198,197.679604873944,0.185317325380113,0.499997580171643,14.1426362301346,0.161875,0.03359375,0.04,1,27825.2175800367,0.267070170778103,0.00236058911012308,0.0348618322677247,0.1,0.000883883476483184,0,1,0,0,2110,3410,1996,128,17,1,2,1
