outer,omega1,omega2,gap12,volume,volErr,Mnd,gray,mid,move,stage,moveChanged,descent,beta,betaStallRel,betaStallFires,prodStageShadow,prodMoveShadow,prodTol,prodStopRaw,prodSettled,prodStopAdmit,exA,exB,exE,exNA,exNB,exDecl,exAmp,exCos,exNet,exMedcos,exMednet,exTol,exStageStart,cosT,net_ratio,cosT_unsat,net_ratio_unsat,boundFrac,revFrac,maxAbs,ratio,l2,rms,stepNorm,path_W,net_W,nInner,cumInner,innerConv,multN,multJ,degen,tOuter
103,156.28419985417878,158.87758403184552,0.016594026651999987,0.49999175639863663,-8.2436013633668814e-06,44.317924710558302,0.47826388888888888,0.263125,0.040000000000000001,1,0,0,24450.838116895888,0.0090821062412456757,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.3389913732480252,0.92389198393470728,0.94981528099276158,0.90560263387332529,0.93544819464221174,0.15000000000000002,1,0.92389198393470728,0.94981528099276158,0.92389198393470728,0.94981528099276169,0,0.42104166666666665,0.022603393772439018,0.5650848443109755,0.3389913732480252,0.0019975258232284884,0.0019975258232284893,0.022523621088970821,0.021393279493595312,25,2333,1,2,0,1,7.1577358333333336
104,156.35136674953654,158.98571722258072,0.016848912342827271,0.49999215228714561,-7.8477128543918973e-06,44.23983671710684,0.47763888888888889,0.26354166666666667,0.040000000000000001,1,0,0,24445.878527465593,0.0091106210505741466,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.25783904538826424,0.93389704244676153,0.94868643375091333,0.90854611599485968,0.94202300250020032,0.15000000000000002,1,0.93389704244676153,0.94868643375091333,0.93389704244676153,0.94868643375091311,0,0.49888888888888888,0.018148864347724416,0.4537216086931104,0.25783904538826424,0.001519331145405897,0.0015193311454058977,0.022028523590149111,0.020898161485536425,18,2351,1,2,0,1,5.3612178333333329
105,156.38910805392661,159.09339859504578,0.017292064484354473,0.49999533283690084,-4.667163099159044e-06,44.075955572778703,0.47652777777777777,0.26395833333333335,0.040000000000000001,1,0,0,24481.837097303633,0.0090267136648710267,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.40655882184413789,0.92616251540239225,0.95008546536387861,0.91019719223452733,0.94501934712802216,0.15000000000000002,1,0.92616251540239225,0.95008546536387861,0.92616251540239225,0.95008546536387883,0,0.45291666666666669,0.027096537066107478,0.67741342665268689,0.40655882184413789,0.0023956708323100281,0.0023956708323100281,0.021484448809724496,0.020412062545473526,29,2380,1,2,0,1,8.4611822083333337
106,156.46145468367061,159.29816535628598,0.018130412236998246,0.49999330170335421,-6.6982966457906912e-06,43.947848298471072,0.47499999999999998,0.26402777777777775,0.040000000000000001,1,0,0,24490.385408818503,0.0089900230668830804,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.34980682125530105,0.92864610517080626,0.95245399309863088,0.91455028288461615,0.94537199481738465,0.15000000000000002,1,0.92864610517080626,0.95245399309863088,0.92864610517080626,0.95245399309863077,0,0.31569444444444444,0.019305598389714056,0.4826399597428514,0.34980682125530105,0.0020612564617911158,0.0020612564617911162,0.021177445298760783,0.020170542338432535,24,2404,1,2,0,1,7.3268392083333334
107,156.51699288770115,159.51853782105135,0.019177118586119091,0.49999552422852334,-4.4757714766641143e-06,43.788713852021324,0.47361111111111109,0.26361111111111113,0.040000000000000001,1,0,0,24522.415713169357,0.0090168530996584759,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.43685961818799796,0.89231327870408084,0.95064892539581691,0.91408590990802074,0.94555719737632171,0.15000000000000002,1,0.89231327870408084,0.95064892539581691,0.89231327870408084,0.9506489253958168,0,0.42916666666666664,0.024580712645278554,0.61451781613196388,0.43685961818799796,0.002574219987060828,0.0025742199870608293,0.0212142364693792,0.020167291102708085,29,2433,1,2,0,1,8.2457934166666664
108,156.59166770430946,159.83566347826687,0.020716273231619287,0.49999586094648663,-4.1390535133745132e-06,43.64841680210494,0.47256944444444443,0.26402777777777775,0.040000000000000001,1,0,0,24532.007504731431,0.008699785358945519,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.36970746551136802,0.95344432665317469,0.95170286476415977,0.92116549224640842,0.94718746208095372,0.15000000000000002,1,0.95344432665317469,0.95170286476415977,0.95344432665317469,0.95170286476415955,0,0.46847222222222223,0.026449704080393814,0.6612426020098453,0.36970746551136802,0.0021785221326531662,0.0021785221326531662,0.021222325517268686,0.020197347991742137,24,2457,1,2,0,1,7.424598333333333
109,156.6584251943203,159.9526225515406,0.021027897817395717,0.4999954983783903,-4.5016216096982475e-06,43.487142411978418,0.47187499999999999,0.26409722222222221,0.040000000000000001,1,0,0,24564.515689574961,0.0085817845386271605,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.41622640014453471,0.94877797293451682,0.95256226834966917,0.92116549224640842,0.94872687581202497,0.15000000000000002,1,0.94877797293451682,0.95256226834966917,0.94877797293451682,0.95256226834966884,0,0.39597222222222223,0.023370323571324837,0.58425808928312095,0.41622640014453471,0.0024526375837588821,0.0024526375837588821,0.021120526375828324,0.020118616513298045,26,2483,1,2,0,1,7.8861667083333336
110,156.73955363688722,160.11437534732838,0.021531397991980245,0.49999573889435156,-4.2611056484398446e-06,43.294914993246145,0.46979166666666666,0.26472222222222225,0.040000000000000001,1,0,0,24592.621652134036,0.0084835700766805657,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.50459645154054589,0.9763038615631624,0.95379844518611134,0.92116549224640842,0.94926723872674346,0.15000000000000002,1,0.9763038615631624,0.95379844518611134,0.9763038615631624,0.95379844518611134,0,0.18479166666666666,0.025604048928060064,0.64010122320150153,0.50459645154054589,0.0029733631053915758,0.0029733631053915754,0.022274211600701282,0.021245108392495327,29,2512,1,2,0,1,8.8735952916666658
111,156.84020110601136,160.34653609771752,0.022356098544761199,0.49998568584972669,-1.4314150273309068e-05,43.225726203749915,0.46916666666666668,0.26576388888888891,0.040000000000000001,1,0,0,24563.561142031267,0.0086279915856755322,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.26104152828934324,0.88800282970637845,0.9510337881641191,0.92116549224640842,0.94979122028655594,0.15000000000000002,1,0.88800282970637845,0.9510337881641191,0.88800282970637845,0.95103378816411899,0,0.39027777777777778,0.013798179198013846,0.34495447995034612,0.26104152828934324,0.0015382019568724549,0.0015382019568724551,0.021305205846178499,0.020261970623507475,14,2526,1,2,0,1,3.9793747916666669
112,156.87789334008863,160.59544471769149,0.023697101602096,0.49999484303630243,-5.1569636975723476e-06,43.004147558303757,0.46840277777777778,0.2663888888888889,0.040000000000000001,1,0,0,24653.676488333862,0.0082124692938161936,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.52477041519561107,0.89952842739141581,0.95301775031207214,0.92116549224640842,0.9499503731783201,0.15000000000000002,1,0.89952842739141581,0.95301775031207214,0.89952842739141581,0.95301775031207214,0,0.58784722222222219,0.02976811687701493,0.74420292192537318,0.52477041519561107,0.0030922393262574721,0.0030922393262574712,0.022782968354729913,0.021712573246855833,29,2555,1,2,0,1,8.3003287500000003
113,156.99129764520026,160.85272314892418,0.024596430258514893,0.49999459500089194,-5.4049991080606929e-06,42.805536020438304,0.46694444444444444,0.26694444444444443,0.040000000000000001,1,0,0,24676.708244518322,0.0083339212763041837,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.51833596820142824,0.97465329659636801,0.95453367650467236,0.92116549224640842,0.95022997853067226,0.15000000000000002,1,0.97465329659636801,0.95453367650467236,0.97465329659636801,0.95453367650467225,0,0.44631944444444444,0.025829489583804266,0.64573723959510665,0.51833596820142824,0.0030543239837343712,0.003054323983734372,0.023839766515235797,0.022755859978801005,26,2581,1,2,0,1,7.8259939999999997
114,157.10110027241242,161.09677247957237,0.02543376335513544,0.49998926632327517,-1.0733676724827834e-05,42.657444683895598,0.46506944444444442,0.26756944444444447,0.040000000000000001,1,0,0,24699.139740410137,0.0083504999480740159,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.42570503562276002,0.94676275722533643,0.95378917837726618,0.92502724966854977,0.95037494249136367,0.15000000000000002,1,0.94676275722533643,0.95378917837726618,0.94676275722533643,0.95378917837726629,0,0.22097222222222221,0.03569475476858542,0.89236886921463543,0.42570503562276002,0.0025084909789509532,0.0025084909789509532,0.024828926348780853,0.023681561262193344,19,2600,1,2,0,1,5.7689162083333336
115,157.19143973358464,161.4140484210408,0.026862841224769188,0.49998291597049177,-1.7084029508229737e-05,42.505591386923328,0.46270833333333333,0.26826388888888891,0.040000000000000001,1,0,0,24720.397681274335,0.0084947194177749045,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.45041641272545868,0.89671168547827651,0.94894267791948994,0.92502724966854977,0.95037494249136367,0.15000000000000002,1,0.89671168547827651,0.94894267791948994,0.89529831045187513,0.94934103263953618,6.9444444444444444e-05,0.33340277777777777,0.036454630181735476,0.91136575454338686,0.45041641272545868,0.002654104164965755,0.0026541041649657546,0.025087359681436577,0.023806466278031867,16,2616,1,2,0,1,4.4887781249999996
116,157.29573052212959,161.76680781534247,0.028424657671073026,0.49998520502919419,-1.4794970805809271e-05,42.332175689517094,0.46027777777777779,0.26833333333333331,0.040000000000000001,1,0,0,24773.326135752865,0.0086470052912939015,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.4930592837372566,0.90243953795344223,0.94644961122315541,0.92502724966854977,0.95037494249136367,0.15000000000000002,1,0.90243953795344223,0.94644961122315541,0.90262558348025046,0.94768514023536565,0.00020833333333333335,0.23916666666666667,0.037456785602628842,0.93641964006572098,0.4930592837372566,0.0029053796921466343,0.0029053796921466347,0.025931482911792092,0.024542841920305522,16,2632,1,2,0,1,4.3890417499999996
