outer,omega1,omega2,omega3,lambda1,lambda2,gap12,dOff,volume,Mnd,beta,box_max,box_mean,N,multJ,max_abs_drho,l2_drho,rms_drho,pred_gain,real_gain,gain_ratio,stop_metric,stop_eps,stop_raw,nInner,innerConv,spike
31,156.67885218258036,160.4871470495847,384.5826061261728,24548.262721250867,25756.124368115026,0.02430637456142762,1207.8616468641594,0.4999873858246082,0.40907799058307515,24648.29282089256,0.1,0.05052167954433947,2,0,0.08734244085385258,2.03526085773108,0.011992889616543299,100.03009964169178,120.36000613353099,1.2032378910414068,2.03526085773108,0.15000000000000002,False,29,1,False
32,157.06248032991329,160.97212977622462,381.318182495799,24668.622727384398,25912.0265646937,0.024892319528502464,1243.4038373093026,0.49998156403202676,0.4000402756346943,24777.617712140724,0.1,0.04983116818398796,2,0,0.09903130440381071,2.195184967862208,0.012935251472784504,108.99498475632572,140.78638895452968,1.2916776792003624,2.195184967862208,0.15000000000000002,False,26,1,False
33,157.51002862147834,161.82806225657208,378.6015556296942,24809.409116338928,26188.32173371697,0.02741434099710986,1378.9126173780423,0.4999697042678444,0.38870945225747744,24958.77796795718,0.1,0.05005344910070592,2,0,0.0982283889987354,2.5597874247759314,0.015083692053792586,149.36885161825194,185.3978502705686,1.2412082456414504,2.5597874247759314,0.15000000000000002,False,22,1,False
34,158.09746034206083,163.19620755990923,375.55901610708173,24994.806966609496,26633.002161936973,0.03225065859259669,1638.1951953274765,0.49996452544158737,0.3715790196795489,25269.677556117414,0.1,0.04987573626933871,2,0,0.09905481892587481,3.570169922730806,0.021037428019593376,274.87058950791834,331.7993036129592,1.2071109688634072,3.570169922730806,0.15000000000000002,False,24,1,False
35,159.1433513227067,165.1262727418106,375.8382505362068,25326.606270222455,27266.68594960282,0.037594542086598876,1940.0796793803638,0.4999799198655384,0.3537081222102245,25637.765327550955,0.1,0.05060881462602665,2,0,0.09924382112955422,3.5768330810287194,0.021076691056398162,311.15905732849933,318.36963617796937,1.023173289286121,3.5768330810287194,0.15000000000000002,False,28,1,False
36,160.14048802973102,166.56078589634825,375.6068697753562,25644.975906400425,27742.495398409163,0.04009165917756705,2097.519492008738,0.49998018146427303,0.3415073495684997,25834.967179106072,0.1,0.051367513211065835,2,0,0.09982524098137742,2.8805657871417463,0.01697389668118245,189.99127270564713,175.39400226133148,0.9231687317188977,2.8805657871417463,0.15000000000000002,False,27,1,False
37,160.6871802872331,167.77616372618843,373.93687374818813,25820.369908661756,28148.841114676787,0.04411667082765132,2328.4712060150305,0.4999676763777418,0.3334933257830733,25936.474169143414,0.1,0.05017881450241486,2,0,0.09799694582433154,2.0578630891373972,0.012126074542354585,116.10426048165755,118.8941759171139,1.0240293975766472,2.0578630891373972,0.15000000000000002,False,18,1,False
38,161.05671077163743,169.05255635180018,373.34487610797225,25939.26408457887,28578.766809078574,0.0496461497434905,2639.5027244997036,0.4999707296547967,0.3194909846711925,26149.17485575624,0.1,0.04917531004726126,2,0,0.09931545131538172,3.1380122351141475,0.018490914424129735,209.9107711773686,209.94275919401116,1.000152388638578,3.1380122351141475,0.15000000000000002,False,27,1,False
39,161.70716386039575,170.59731577870892,370.4030929124787,26149.20684377288,29103.444150900526,0.05497685882357178,2954.237307127645,0.49996416457023946,0.30465627278558916,26391.462906716057,0.1,0.04814686108653768,2,0,0.09923601584871057,3.2080120122049975,0.018903392066317127,242.2560629431755,243.56766424782109,1.00541411136923,3.2080120122049975,0.15000000000000002,False,22,1,False
40,162.45853165660677,172.4141626448851,369.7259631260281,26392.774508020702,29726.64348053689,0.06128105976805103,3333.8689725161894,0.49997834345208453,0.2886283287150867,26676.143818536395,0.1,0.04815440524610678,2,0,0.0991457519772096,3.4436370018649294,0.020291825633030027,283.36931051569263,258.8443012267162,0.9134521333861302,3.4436370018649294,0.15000000000000002,False,28,1,False
41,163.25323521831785,174.43594861648555,370.47353958133306,26651.61880924742,30427.900169733184,0.06849918400216141,3776.2813604857656,0.4999735105357971,0.2811780657795058,26770.757115725577,0.1,0.04776289445606313,2,0,0.0990431160080428,1.9570363733170564,0.01153194742167682,119.13830647815848,96.09027876910841,0.8065439371234017,1.9570363733170564,0.15000000000000002,False,18,1,False
42,163.54726866571795,175.47777923350895,369.6675102770823,26747.709088016527,30792.451004724106,0.07294839385044297,4044.7419167075786,0.49997692844974484,0.2715464863581263,26896.639725836274,0.1,0.046213584708286466,2,0,0.09876042920938344,2.4562032291821776,0.014473316327725113,148.93063781974706,136.41080795522066,0.9159351625172025,2.4562032291821776,0.15000000000000002,False,24,1,False
43,163.96377617013994,176.5471942713308,368.58917836084123,26884.119895971748,31168.911805079017,0.07674511038421956,4284.791909107269,0.4999778437690246,0.26522015901834367,26980.65734718405,0.1,0.04560676443843143,2,0,0.09712217802470607,1.681212251479896,0.009906638196961148,96.53745121230168,84.78916723254952,0.8783033544782971,1.681212251479896,0.15000000000000002,False,15,1,False
44,164.22213329269687,177.16639488305205,367.9663677672075,26968.909063204297,31387.93147585753,0.07882166265179572,4419.022412653234,0.49997654730329233,0.25839816498437124,27080.838281491153,0.1,0.045812603778290585,2,0,0.09896982089196034,1.8698024492976812,0.011017916594813383,111.92921828685576,82.89432647317153,0.7405959564617642,1.8698024492976812,0.15000000000000002,False,15,1,False
45,164.4743244086367,178.33398285013726,367.739355033207,27051.80338967747,31803.00943919305,0.08426639532542608,4751.206049515582,0.49997994428190945,0.2524746285149741,27146.71017196094,0.1,0.046070129422762035,2,0,0.09926471981015544,1.6145964455163035,0.009514100795868952,94.90678228347315,66.55183652420237,0.7012337255879294,1.6145964455163035,0.15000000000000002,False,14,1,False
46,164.67651692394296,179.34211212750043,367.370938021335,27118.35522620167,32163.593182352935,0.08905699171625596,5045.237956151264,0.4999837113528755,0.2473539485820019,27194.27828235963,0.1,0.04681454363346973,2,0,0.09872025534822672,1.3879412408322025,0.008178522194007679,75.92305615796067,59.26670365999598,0.7806153579577916,1.3879412408322025,0.15000000000000002,False,14,1,False
47,164.85636757450914,179.93299962025995,366.8929009029034,27177.621929861667,32375.884352344467,0.09145313746487056,5198.2624224828,0.49998350471494685,0.2422482939335817,27257.525820115672,0.1,0.04674614755086787,2,0,0.09909718337765663,1.5397691398758129,0.009073176668899707,79.90389025400509,50.39681500613369,0.6307179143084038,1.5397691398758129,0.15000000000000002,False,15,1,False
48,165.009147458157,180.9199246559754,366.6248987996141,27228.0187448678,32732.019137523814,0.09642360707216577,5504.000392656013,0.49998578032826674,0.23737003111703658,27299.3430850314,0.1,0.046304426855254106,2,0,0.09551433698495226,1.4506091848636944,0.008547796595571736,71.32434016359912,50.790349933206016,0.7121040281158778,1.4506091848636944,0.15000000000000002,False,16,1,False
49,165.16297737326306,181.70729198865888,366.30361899147755,27278.809094801007,33017.53996185173,0.10016963170872245,5738.730867050726,0.4999870925467081,0.23325258461359977,27334.04740564191,0.1,0.045789194336293366,2,0,0.09674398380035416,1.271190388360502,0.007490561198240599,55.23831084090489,43.30032368041793,0.7838821104636915,1.271190388360502,0.15000000000000002,False,16,1,False
50,165.29400902174714,182.17487890007203,365.7750494416971,27322.109418481425,33187.68650225591,0.10212632616408941,5865.577083774482,0.4999861844658543,0.22950126012366698,27382.86791690758,0.1,0.04619172830400034,2,0,0.09932384700468942,1.316811199327802,0.007759384404892327,60.75849842615571,25.451104788335215,0.41888962774924104,1.316811199327802,0.15000000000000002,False,14,1,False
51,165.37097847950758,183.05433084273272,365.57098489903626,27347.56052326976,33508.888040280646,0.10693141278967774,6161.327517010886,0.4999887072512247,0.22596472951029428,27399.66950755912,0.1,0.0447060250909699,2,0,0.09597247807259547,1.1814124550406648,0.006961539652812511,52.108984289359796,21.69537030432184,0.41634606009297803,1.1814124550406648,0.15000000000000002,False,14,1,False
52,165.43656153817415,183.87760917788233,365.3660398040866,27369.25589357408,33810.97515697404,0.11146899735009878,6441.719263399958,0.49999045923382945,0.2229062795649609,27406.151584328953,0.1,0.04484813548741872,2,0,0.09752086647221153,0.9743055379445419,0.005741150440234938,36.895690754870884,23.708652168563276,0.6425859411626089,0.9743055379445419,0.15000000000000002,False,14,1,False
53,165.50820084135603,184.27268172984012,365.1959343124099,27392.964545742645,33956.42123190695,0.11337493123056988,6563.456686164303,0.4999894199854436,0.21919547298929615,27444.3266638695,0.1,0.04453791564023771,2,0,0.08305411601173326,1.3150781974693961,0.00774917259350993,51.3621181268536,14.411719484312925,0.28059044311060183,1.3150781974693961,0.15000000000000002,False,17,1,False
54,165.55173289708253,185.2221732548554,365.2703571089642,27407.376265226958,34307.25346525167,0.11881748389792607,6899.877200024712,0.4999900550550252,0.21543975582577868,27455.47693252596,0.1,0.043918124341244605,2,0,0.0764256246395094,1.2765813788894604,0.007522327914576757,48.100667299000634,15.79455408418653,0.32836455232534134,1.2765813788894604,0.15000000000000002,False,17,1,False
55,165.59942880128284,186.14460257560765,365.37056615208644,27423.170819311144,34649.81306803092,0.12406548695876693,7226.642248719774,0.49999014202895276,0.2118359438521907,27467.173175034673,0.1,0.043409629686192504,2,0,0.09181831798197417,1.20272222725728,0.0070871086898117545,44.002355723529035,16.704018182826985,0.3796164525322215,1.20272222725728,0.15000000000000002,False,16,1,False
56,165.64985613484237,186.92785994094814,365.5013273756569,27439.87483749397,34942.02482210272,0.12845168901797924,7502.14998460875,0.49998982225114774,0.2081292362421583,27483.637678908788,0.1,0.04325819558057405,2,0,0.09461013169539104,1.2009233711068823,0.007076508828292377,43.76284141481665,18.934288586209732,0.4326567465475221,1.2009233711068823,0.15000000000000002,False,16,1,False
57,165.7069978186805,187.62373616152345,365.79440323358307,27458.80912608018,35202.666371208965,0.13226199636315084,7743.857245128784,0.4999892311891604,0.2046292212882751,27504.96482307115,0.1,0.043640572478133695,2,0,0.08038632730345463,1.1937918075473954,0.007034485687014243,46.15569699096886,9.805169816238049,0.2124368269892359,1.1937918075473954,0.15000000000000002,False,15,1,False
58,165.73658104322178,188.4400115045691,366.0725820596874,27468.61429589642,35509.63793584213,0.13698502960807782,8041.0236399457135,0.49998916009690086,0.20032947560916606,27520.7042560819,0.1,0.04280415247898862,2,0,0.08970299207893247,1.3623793478805868,0.008027897295290578,52.08996018547987,15.949111967645877,0.3061839922867077,1.3623793478805868,0.15000000000000002,False,17,1,False
59,165.7846899079166,189.36114295783355,366.438376674905,27484.563407864065,35857.64246229707,0.14221128056524548,8373.079054433008,0.4999885964839716,0.19573687058430644,27538.445746008274,0.1,0.04177111285750091,2,0,0.0903531420721616,1.4057102293057577,0.00828322696271165,53.882338144208916,16.18842436374689,0.3004402726626436,1.4057102293057577,0.15000000000000002,False,17,1,False
60,165.83350636173563,190.2746719042837,366.86412230756525,27500.751832227812,36204.45076828281,0.14738375904103554,8703.698936055,0.4999874468083343,0.19072756619264422,27558.182085350938,0.1,0.041882697350410183,2,0,0.06826656696231433,1.4763910915313845,0.008699717937543755,57.43025312312602,17.181938061530673,0.2991792152594892,1.4763910915313845,0.15000000000000002,False,17,1,False
61,165.8853030569295,191.18851201111323,367.3669470908166,27517.933770289343,36553.047125023586,0.15253436252577496,9035.113354734243,0.4999857448035686,0.18513069066076257,27581.65739347583,0.1,0.041793055288111204,2,0,0.08572803212853265,1.574164367326235,0.009275852490321767,63.72362318648811,20.58413098480014,0.3230219807897674,1.574164367326235,0.15000000000000002,False,17,1,False
62,165.9473347218151,192.11438457582176,367.9574063401704,27538.517901274143,36907.936760946744,0.15768285702130522,9369.418859672602,0.49998581438274087,0.17941749797560597,27603.94458452665,0.1,0.04151278494094908,2,0,0.08233663297490061,1.5581616229230604,0.009181555414612769,65.42668325250634,19.924818818635686,0.304536587033432,1.5581616229230604,0.15000000000000002,False,17,1,False
63,166.0073574275935,193.016591459617,368.5059759184799,27558.44272009278,37255.40457868869,0.16269901798662126,9696.961858595914,0.4999887529700653,0.17423218897031278,27617.535718352967,0.1,0.04130896529865246,2,0,0.068624103716789,1.4439210615201317,0.008508386450824693,59.092998260188324,14.993796028047655,0.2537321928061511,1.4439210615201317,0.15000000000000002,False,18,1,False
64,166.0525113213312,193.87975430879155,368.85109501099515,27573.436516120826,37589.35913083737,0.16758098246169462,10015.922614716546,0.49999042095948704,0.16993155049518677,27623.018427640403,0.1,0.04088636506523784,2,0,0.0691071055329056,1.3378953158425064,0.007883623752916284,49.58191151957726,8.756358851234836,0.17660389813283853,1.3378953158425064,0.15000000000000002,False,18,1,False
65,166.0788754627513,194.65080826450276,369.03906722361654,27582.19287497206,37888.937158024215,0.17203833252206507,10306.744283052154,0.4999902479551048,0.16598527863926563,27627.080472590715,0.1,0.04026874024786676,2,0,0.06248725092947571,1.285669546619597,0.007575880456497926,44.88759761865367,7.3035164179163985,0.1627067788292889,1.285669546619597,0.15000000000000002,False,17,1,False
66,166.10086210309078,195.34486214405314,369.2409138788367,27589.496391389977,38159.61516607912,0.17606169932346302,10570.118774689145,0.4999895952018251,0.16182769030619307,27636.6559004301,0.1,0.039393136257721374,2,0,0.05991246538412953,1.3279375394948048,0.007824946993074627,47.15950904012425,8.690004315343685,0.18426833722866065,1.3279375394948048,0.15000000000000002,False,17,1,False
67,166.12701886118742,196.01608001246595,369.49786944307715,27598.18639570532,38422.30362345345,0.17991691752593994,10824.117227748131,0.49998898428118244,0.15717744887986268,27650.339169641786,0.1,0.03904686847975296,2,0,0.06545886451787039,1.43797891358659,0.008473372008336184,52.152773936464655,12.59500250560086,0.24150206316819844,1.43797891358659,0.15000000000000002,False,18,1,False
