element,rho,delta,scheme,raw_analytic,FE_FD,filtered_analytic,raw_subspace_FD,filtered_subspace_FD,abs_error,relative_error,error_over_raw_interior_RMS
1.503000000000000000e+04,1.997122976611453646e-03,2.999999999999999737e-04,0.000000000000000000e+00,3.806719439435538976e-05,2.866120970187088080e-05,3.868728473947839866e-05,3.806719439435538976e-05,3.868728473947839866e-05,9.405984692484508963e-06,2.470889920345490376e-01,1.623111292466022131e-06
1.503000000000000000e+04,1.997122976611453646e-03,1.000000000000000048e-04,0.000000000000000000e+00,3.806719439435538976e-05,3.910827217623591423e-05,3.868728473947839866e-05,3.806719439435538976e-05,3.868728473947839866e-05,1.041077781880524471e-06,2.734842423887418744e-02,1.796499951202254799e-07
1.589600000000000000e+04,9.993446658796402149e-01,1.000000000000000021e-03,-1.000000000000000000e+00,4.601220171469234899e+00,4.601212584020686336e+00,4.606308769035061701e+00,4.601220171469155851e+00,4.606308769034983541e+00,7.587448548562747419e-06,1.649007929594459659e-06,1.309301877773325660e-06
1.589600000000000000e+04,9.993446658796402149e-01,2.999999999999999737e-04,0.000000000000000000e+00,4.601220171469234899e+00,4.601228556566638872e+00,4.606308769035061701e+00,4.601220171469227793e+00,4.606308769035054596e+00,8.385097403973418295e-06,1.822363871211130831e-06,1.446945400165416865e-06
1.589600000000000000e+04,9.993446658796402149e-01,1.000000000000000048e-04,0.000000000000000000e+00,4.601220171469234899e+00,4.601255295710870996e+00,4.606308769035061701e+00,4.601220171469234010e+00,4.606308769035060813e+00,3.512424163609750849e-05,7.633679834295310177e-06,6.061093559338576340e-06
1.739000000000000000e+04,8.388851311205055561e-01,1.000000000000000021e-03,0.000000000000000000e+00,1.939923025909593868e+00,1.939925658007268794e+00,1.879616258047212884e+00,1.939923025909591869e+00,1.879616258047209332e+00,2.632097674926114905e-06,1.356805213285188619e-06,4.541988530408374691e-07
1.739000000000000000e+04,8.388851311205055561e-01,2.999999999999999737e-04,0.000000000000000000e+00,1.939923025909593868e+00,1.939929279615171476e+00,1.879616258047212884e+00,1.939923025909593868e+00,1.879616258047212662e+00,6.253705577607959754e-06,3.223687483515338827e-06,1.079149124161722595e-06
1.739000000000000000e+04,8.388851311205055561e-01,1.000000000000000048e-04,0.000000000000000000e+00,1.939923025909593868e+00,1.939871981448959559e+00,1.879616258047212884e+00,1.939923025909593868e+00,1.879616258047212884e+00,5.104446063430856384e-05,2.631262166207587667e-05,8.808311216961936397e-06
1.744100000000000000e+04,4.605209518069866559e-01,1.000000000000000021e-03,0.000000000000000000e+00,5.539227556192691804e-01,5.539186768146464601e-01,1.508532951086085649e+00,5.539227556192666269e-01,1.508532951086085649e+00,4.078804622720255679e-06,7.363489911441304407e-06,7.038448455258065884e-07
1.744100000000000000e+04,4.605209518069866559e-01,2.999999999999999737e-04,0.000000000000000000e+00,5.539227556192691804e-01,5.539079453834954148e-01,1.508532951086085649e+00,5.539227556192688473e-01,1.508532951086085649e+00,1.481023577376561207e-05,2.673700551841061012e-05,2.555677232569854058e-06
1.744100000000000000e+04,4.605209518069866559e-01,1.000000000000000048e-04,0.000000000000000000e+00,5.539227556192691804e-01,5.538798177440185100e-01,1.508532951086085649e+00,5.539227556192691804e-01,1.508532951086085871e+00,4.293787525067038757e-05,7.751599806125878040e-05,7.409426282560923000e-06
