outer,rho_sha256,omega1,omega2,omega3,lambda1,lambda2,gap12,dOff,volume,Mnd,gray,mid,broad_core,void_lt_0p1,at_rhomin,beta,box_max,box_mean,box_at_floor,N,multJ,max_abs_drho,l2_drho,rms_drho,sign_reversal,on_bound,at_move_box,step_over_box_rms,pred_gain,real_gain,gain_ratio,stop_metric,stop_eps,stop_raw,nInner,innerConv,spike,stage,exA,exB,exE,exDecl
21,fe16cab0cfcbbd1316cf758874e1be67a69b459bb6eb90cf3f0a9531c0717e59,143.33651601582403,146.52801440761448,398.0112828413843,20545.35682355458,21470.459006238078,0.02226577344351046,925.1021826834985,0.49995117361266384,0.6355898161343617,0.6958333333333333,0.34125,0.5806944444444444,0.12902777777777777,0.0,20854.671310512447,0.04,0.04,nan,2,0,0.03951695125531932,1.4470056586205078,0.008526562613548895,0.10097222222222223,0.0,0.0,0.21316406533872237,309.3144869578682,288.94743201330493,0.9341542158439624,1.4470056586205078,0.15000000000000002,False,14,1,False,1.0,0.0,0.0,0.0,0.0
22,13cb248cec11a02d4764efd27d0c5ec4ee73b99d01d87219f80696e53579b297,144.34093063150135,145.21187789665194,392.8777732966647,20834.304255567884,21086.489482272154,0.006033959053333917,252.18522670427046,0.49997151132738044,0.6292244444533642,0.6903472222222222,0.3315972222222222,0.5759722222222222,0.13152777777777777,0.0,21083.403640643242,0.04,0.04,nan,2,0,0.039708995345655536,1.236718782265992,0.007287435311342102,0.2326388888888889,0.0,0.004166666666666667,0.1821858827835525,249.09938507535844,212.89339751457373,0.854652441033399,1.236718782265992,0.15000000000000002,False,22,1,False,1.0,0.0,0.0,0.0,0.0
23,54168e1ccf27164f1444724d33a257e7eea2693c28e57cb3a971c300322453a4,145.07652343877854,145.69883539676616,394.54642601852595,21047.197653082458,21228.150635973958,0.0042895428098001795,180.95298289150014,0.49997207800897026,0.6229368285430283,0.6820138888888889,0.3238888888888889,0.5709722222222222,0.13659722222222223,0.0,21282.51280879208,0.04,0.04,nan,2,0,0.03966823044861815,1.2768064971787385,0.007523654436817737,0.20034722222222223,0.0,0.0005555555555555556,0.18809136092044337,235.31515570962074,196.31037473472315,0.8342445013485253,1.2768064971787385,0.15000000000000002,False,21,1,False,1.0,0.0,0.0,0.0,0.0
24,b869199e041882d11fb54df014ee5c9af07db76ada0fc3ef8431eefd2f17982e,145.7515283893009,146.59433332230125,397.60209231300223,21243.50802781718,21489.898562209964,0.005782477496560052,246.3905343927836,0.49997889757259345,0.6185627617322168,0.6780555555555555,0.3186805555555556,0.5677083333333334,0.1386111111111111,0.0,21416.73868574536,0.04,0.04,nan,2,0,0.03968823851492543,0.8946125922977789,0.005271555254571963,0.23097222222222222,0.0,0.002013888888888889,0.13178888136429914,173.23065792817943,144.11434415650365,0.831921704160777,0.8946125922977789,0.15000000000000002,False,15,1,False,1.0,0.0,0.0,0.0,0.0
25,51bd9cdca8523b2db3d43694e92cead55e303e54ff502c1b94ba83ec7d903027,146.24507640250212,146.86628880675514,399.03979759813905,21387.622371973684,21569.70678786921,0.00424774918605319,182.08441589552604,0.49997343905274666,0.6140518523242382,0.6743055555555556,0.3145833333333333,0.5648611111111111,0.14020833333333332,0.0,21545.852853391334,0.04,0.04,nan,2,0,0.03968693665720857,0.9275757332168033,0.005465792425180712,0.2148611111111111,0.0,0.0022916666666666667,0.13664481062951775,158.23048141764957,123.42002609099654,0.7800015836722964,0.9275757332168033,0.15000000000000002,False,17,1,False,1.0,0.0,0.0,0.0,0.0
26,cedafbbd6fe09c77d43d75ab30fe842ed6f1a741f22b0fc0c1d9a029a985b88e,146.66643241745768,147.34573383777882,400.62927087829536,21511.04239806468,21710.76528019356,0.0046316079904885,199.72288212887725,0.4999793614024744,0.6098096635100326,0.6689583333333333,0.3111111111111111,0.5622916666666666,0.14381944444444444,0.0,21657.722549385708,0.04,0.04,nan,2,0,0.03959670361254202,0.8507585294108002,0.005013142710822264,0.2209722222222222,0.0,0.0,0.12532856777055665,146.68015132102664,121.66448393747487,0.8294543115871073,0.8507585294108002,0.15000000000000002,False,19,1,False,1.0,0.0,0.0,0.0,0.0
27,c2d0ea1abbfa21c121f596086d7ab22d88bb14e54640a3cc223acffd2a9abe6b,147.08061354917635,147.72309226458634,402.41855410605547,21632.706882002156,21822.11198821149,0.004368208018082414,189.40510620933492,0.49998039589152915,0.6054292288542944,0.6654166666666667,0.3084722222222222,0.5591666666666667,0.14527777777777778,0.0,21773.363235143977,0.04,0.04,nan,2,0,0.03972696581467966,0.8941147376728924,0.00526862161806111,0.2038888888888889,0.0,0.002361111111111111,0.13171554045152775,140.65635314182146,113.2029731322582,0.8048194809808379,0.8941147376728924,0.15000000000000002,False,23,1,False,1.0,0.0,0.0,0.0,0.0
28,487762f2c79045a79ec699fba84a302247b41d9a959c16e0cb2b96f1b8747ff8,147.46494449574928,148.14655665239593,404.1135871035512,21745.909855134414,21947.402247961556,0.004622197899150861,201.49239282714188,0.4999798320395393,0.6016086200113394,0.6623611111111111,0.3059027777777778,0.5570138888888889,0.14666666666666667,0.0,21870.0090587486,0.04,0.04,nan,2,0,0.03974819928492031,0.7788935737054655,0.004589674398247989,0.1909722222222222,0.0,0.0004861111111111111,0.11474185995619968,124.09920361418699,89.56135797236857,0.7216916415580441,0.7788935737054655,0.15000000000000002,False,19,1,False,1.0,0.0,0.0,0.0,0.0
29,7e52424b9764ac01d2e6cbb8c93f2a7b5b74093c026d7efa14c7b93b3ef3b5b9,147.76830246404938,148.4598985263542,405.20678525439627,21835.471213106783,22040.341470455387,0.004680273446824522,204.87025734860435,0.49997983768462584,0.5971193145336492,0.6570833333333334,0.3013888888888889,0.5542361111111112,0.15013888888888888,0.0,21965.726009900503,0.04,0.04,nan,2,0,0.03980714825817011,0.8779476543516767,0.005173356165990781,0.2841666666666667,0.0,0.0011805555555555556,0.1293339041497695,130.25479679372074,112.0915168376523,0.8605557691296937,0.8779476543516767,0.15000000000000002,False,24,1,False,1.0,0.0,0.0,0.0,0.0
30,3ccb0c4e0b48cef6eade3fdd6b11c92cbbb5a6a8aa40bee0411162e4753d176a,148.14709828391656,148.9503606844717,407.1823458554567,21947.562729944435,22186.20994803421,0.005422059627625743,238.6472180897763,0.49997712646969816,0.5933252262499693,0.6502777777777777,0.2976388888888889,0.5429166666666667,0.1554861111111111,0.0,22057.248979019336,0.04,0.04,nan,2,0,0.03981727731835479,0.7385469514670453,0.004351929646724997,0.18743055555555554,0.0,0.0015277777777777779,0.10879824116812505,109.68624907490084,85.61942438533879,0.7805848509494779,0.7385469514670453,0.15000000000000002,False,20,1,False,1.0,0.0,0.0,0.0,0.0
