outer,rho_sha256,omega1,omega2,omega3,lambda1,lambda2,gap12,dOff,volume,Mnd,gray,mid,broad_core,void_lt_0p1,at_rhomin,beta,box_max,box_mean,box_at_floor,N,multJ,max_abs_drho,l2_drho,rms_drho,sign_reversal,on_bound,at_move_box,step_over_box_rms,pred_gain,real_gain,gain_ratio,stop_metric,stop_eps,stop_raw,nInner,innerConv,spike,stage
27,b550e5b8b6ed5f046efe026e6cbef6c3f412ab1198fc4f322da9073f22ec96a6,155.08929786165766,157.45583732165198,391.4583706419988,24052.69031122197,24792.340706662533,0.015259205455332724,739.6503954405634,0.4999579957570954,0.45689953403587064,0.4845138888888889,0.2609722222222222,0.3542361111111111,0.23993055555555556,0.0,24097.74170441372,0.1,0.02894093756110021,0.0011805555555555556,2,0,0.06611967651682558,0.6802032091572452,0.0040081358481661635,0.11791666666666667,0.0,0.0,0.06572199704793621,45.0513931917485,45.57805231924067,1.0116901851458975,0.6802032091572452,0.15000000000000002,False,31,1,False,1.0
28,429deee2c7653e6e6070883eb7ec7880fb44bd59fe022b99625822abfc9b7081,155.23616963691552,157.62225015779202,391.1007235765789,24098.26836354121,24844.773744805567,0.015370648003344504,746.5053812643564,0.4999849063932553,0.4549623368593722,0.48305555555555557,0.26,0.353125,0.24090277777777777,0.0,24107.048406747534,0.1,0.03195321139596417,0.0001388888888888889,2,0,0.041262742305731286,0.5393991607126115,0.003178440035885166,0.16486111111111112,0.0,0.0,0.04764929031479051,8.780043206323171,34.25946646032389,3.901970144708521,0.5393991607126115,0.15000000000000002,False,20,1,False,1.0
29,cfe6590792f4d2012e32e02505a25e0fcb19fa09cabfa1e871aa1a158762e8aa,155.34647672220163,157.64169133950304,390.3527324267599,24132.527830001534,24850.902848379148,0.014774809610943603,718.3750183776137,0.4999377753366501,0.45205978604408376,0.4799305555555556,0.2586111111111111,0.35020833333333334,0.2423611111111111,0.0,24172.279305907232,0.1,0.03566335348159284,0.0007638888888888889,2,0,0.08868027543922231,0.8590426556903643,0.005061957393059643,0.24986111111111112,0.0,0.0,0.07016492831233484,39.75147590569759,39.98189885682223,1.005796588576265,0.8590426556903643,0.15000000000000002,False,27,1,False,1.0
30,f979313601fa4f40a710778c01f377c84cd55f14dc66cb65d8b5edf3535cda00,155.4751096763027,158.00434818164325,390.08354116797733,24172.509728858357,24965.37404430595,0.01626780331981362,792.864315447594,0.49997551390658296,0.44911960641608994,0.4777777777777778,0.25743055555555555,0.34805555555555556,0.2436111111111111,0.0,24214.4460074705,0.1,0.03861282463077027,0.006527777777777778,2,0,0.07899111781964784,0.8849298943848266,0.0052144994099517184,0.22,0.0,0.0,0.06495237542347065,41.936278612141905,35.715306497852,0.8516565532238539,0.8849298943848266,0.15000000000000002,False,23,1,False,1.0
31,f2cccf25df8c1830375c9610297d63b90fa24230a2ade415c7b8928d6eeda861,155.58992588003957,158.44161837531544,389.98591830804503,24208.22503535621,25103.746433389097,0.018328259231092738,895.5213980328881,0.4999896778241658,0.4453148580765598,0.47479166666666667,0.255,0.3452777777777778,0.24506944444444445,0.0,24251.26475786456,0.1,0.042416179159614556,0.002013888888888889,2,0,0.07607264683457585,1.0622578442043504,0.006259414375045827,0.22090277777777778,0.0,0.0,0.07346882699194031,43.03972250835068,40.924137752146635,0.9508457621725239,1.0622578442043504,0.15000000000000002,False,25,1,False,1.0
32,e318b1ce32a8e26f0e3f46a0f993bf503d27980d60edcf85757b4d1bc1ee0c40,155.72138315950176,158.72815417712204,389.049791376786,24249.149173108355,25194.626928476224,0.019308658558089713,945.4777553678687,0.4999905141032953,0.44079188099186606,0.47020833333333334,0.25055555555555553,0.3415972222222222,0.2470138888888889,0.0,24304.452415229534,0.1,0.04669051400356201,0.004375,2,0,0.08248436470324345,1.3094793967431224,0.007716181343842761,0.21215277777777777,0.0,0.0,0.08472560472756602,55.30324212117921,59.90545105196725,1.0832177057667574,1.3094793967431224,0.15000000000000002,False,28,1,False,1.0
33,92efb7905b15255a8f35239abe5b5ac886b8b01bf062e913ee0cb4d90b7e7840,155.91361269677617,158.98948551045626,387.71972972071075,24309.054624160322,25277.65650287958,0.019728058124482754,968.6018787192588,0.4999890018988279,0.4369209871844317,0.4672222222222222,0.2470138888888889,0.3390972222222222,0.2479861111111111,0.0,24348.673986571976,0.1,0.04907302008020729,0.00375,2,0,0.09302350554621602,1.1120678024347108,0.006552922368673382,0.23201388888888888,0.0,0.0,0.0700227723466746,39.61936241165313,45.56938695878853,1.15017971478979,1.1120678024347108,0.15000000000000002,False,25,1,False,1.0
34,a06978d02720824b6401a1381b9f1aa2dc03ccabc4f568a7a48bac81e21fba97,156.05968092726292,159.51891702566348,387.04399738553076,24354.62401111911,25446.28488904051,0.022166110284519067,1091.6608779214002,0.49998982422978794,0.4315711003240833,0.4629861111111111,0.24041666666666667,0.33479166666666665,0.2503472222222222,0.0,24412.227064506194,0.1,0.050156995891438516,0.00375,2,0,0.09045711974102989,1.4963092141384495,0.008817086600576762,0.26666666666666666,0.0,0.0,0.0941217969562561,57.60305338708349,80.31502693866787,1.3942841953006115,1.4963092141384495,0.15000000000000002,False,28,1,False,1.0
35,161eb4272b98b78cbc010cda56d846a3f39f610e58cc6687d31c4ae385d6b20e,156.31679064661537,159.59767448879754,384.1492319103368,24434.93903805778,25471.417702232175,0.02098868476387314,1036.4786641743958,0.49998926861885595,0.42748999155720413,0.45902777777777776,0.23416666666666666,0.33034722222222224,0.2521527777777778,0.0,24476.236402143168,0.1,0.050071898574027995,0.007847222222222222,2,0,0.09750483704967884,1.1913671213369874,0.007020198086500668,0.28430555555555553,0.0,0.0,0.07431282247583261,41.297364085388836,62.95306854055889,1.5243846655780127,1.1913671213369874,0.15000000000000002,False,23,1,False,1.0
36,f76f8dde70a1256729607b4e2bd0f7a5f09c261bac3003fc1c493e1d658f6fb2,156.51802486166997,159.7410824802549,383.0071682859876,24497.892106598338,25517.2134319636,0.020592245662654236,1019.3213253652611,0.4999834091618489,0.423587490286253,0.45534722222222224,0.22819444444444445,0.3242361111111111,0.25375,0.0,24517.043510324318,0.1,0.05012390313737959,0.012361111111111111,2,0,0.09685689921867005,1.088334280992795,0.006413071252398256,0.23618055555555556,0.0,0.0,0.06762686843117582,19.151403725980344,51.25078764735372,2.6760851779145622,1.088334280992795,0.15000000000000002,False,22,1,False,1.0
37,8dcbcde92b856bc6bbf70900bfa8b3ab7317198aeada380f1054d501d6e00bb9,156.68166100168102,160.06699541799875,381.94873683705214,24549.14289424569,25621.443022145635,0.021606449629618184,1072.3001278999436,0.4999355659605875,0.41763698415739225,0.4498611111111111,0.21847222222222223,0.31854166666666667,0.2570138888888889,0.0,24616.659217946453,0.1,0.050438164883822814,0.011319444444444444,2,0,0.09852549928428969,1.608337084031833,0.009477217154605894,0.23534722222222224,0.0,0.0,0.09938122150770283,67.51632370076186,-20437.46149275866,-302.7040036027323,1.608337084031833,0.15000000000000002,False,29,1,False,1.0
38,0620cf682b20ab3a255cbd23ea4bbb0d4b1e6365c319d72ac565d00311436e6a,64.12239391575326,64.57835740974826,156.95819946248292,4111.6814014870315,4170.364245741189,0.007110830805756635,58.68284425415732,0.4999338661102735,0.4177341822607218,0.4492361111111111,0.2165277777777778,0.31798611111111114,0.2573611111111111,0.0,20558.40659626679,0.1,0.05101714578713172,0.012638888888888889,2,1,0.027433617279224724,0.33212284324815805,0.0019570526220644108,0.4278472222222222,0.0,0.0,0.02773569856274462,16446.725194779756,20529.33937643896,1.2482326501664318,0.33212284324815805,0.15000000000000002,False,5,1,True,1.0
39,aedcae35de05a3d731033155e5e92634f5fe37981b773b252703874016de98f8,156.9745864078832,160.69777757407792,380.6404390128182,24641.02077792599,25823.77571724782,0.023718432718276825,1182.7549393218287,0.4999884836741967,0.4118170012023807,0.44493055555555555,0.2048611111111111,0.31319444444444444,0.2602083333333333,0.0,24731.929667290773,0.1,0.04942196231212089,0.021666666666666667,2,0,0.09910498069893464,1.4467040426938842,0.008524785324656984,0.5406944444444445,0.0,6.944444444444444e-05,0.08972127328291685,90.90888936478223,87.01376109526609,0.9571534940451588,1.4467040426938842,0.15000000000000002,False,25,1,False,1.0
40,10a3080258e9f703fc44dd63068bc0ff712c72b7c019791285d07acb67b4fd56,157.2515009118236,161.25313091480197,379.5860661182859,24728.034539021257,26002.572229826263,0.02544732469817396,1274.5376908050057,0.4999864606411192,0.4055973046034131,0.44048611111111113,0.1938888888888889,0.3095833333333333,0.26256944444444447,0.0,24793.9909794278,0.1,0.04772523039512929,0.09590277777777778,2,0,0.09679653344390196,1.6020824737673058,0.009440361510174843,0.04402777777777778,0.0,6.944444444444444e-05,0.09822035028713996,65.95644040654224,83.30196051930034,1.2629844789355489,1.6020824737673058,0.15000000000000002,False,26,1,False,1.0
41,ba8ddd51b66cff91a21b89708d33a8899a463abc32c3593a3deef6d15cc63ca2,157.51614678991027,161.78275616682942,377.8264256540539,24811.336499540557,26173.660192935782,0.02708680642505691,1362.3236933952248,0.49998596740823714,0.39977710325368615,0.4363888888888889,0.1832638888888889,0.3055555555555556,0.264375,0.0,24875.538389692134,0.1,0.04913089817209348,0.0022916666666666667,2,0,0.09571001018784021,1.5423021290619836,0.009088102450818153,0.09298611111111112,0.0,0.0,0.09428964616088416,64.20189015157666,78.94085949121654,1.2295722027006073,1.5423021290619836,0.15000000000000002,False,22,1,False,1.0
42,b91dde979da1aef533c02d756f2471f5f20c36feac00cdcea6cbb1b261f69a90,157.76652800588525,162.8867327917675,377.62377155310526,24890.277359031774,26532.08771957667,0.03245431620128741,1641.810360544896,0.4999843665264493,0.39293835553693307,0.4330555555555556,0.17715277777777777,0.30270833333333336,0.26611111111111113,0.0,24966.83408373665,0.1,0.049806946319350655,0.00951388888888889,2,0,0.09751953200355044,1.7140823677744526,0.01010032721471341,0.11513888888888889,0.0,0.0,0.10396757030541659,76.5567247048748,95.73380023348727,1.2504949839813533,1.7140823677744526,0.15000000000000002,False,23,1,False,1.0
43,f1e7c9df4524b078deed41ea6b70389b6eea05818a9f7323afbebbea1b09d3f2,158.06964021995262,163.50944184707237,375.4545062069029,24986.01115926526,26735.33757314114,0.03441395589659285,1749.3264138758786,0.4999799782883446,0.38476138602133336,0.4284722222222222,0.17055555555555554,0.295625,0.26868055555555553,0.0,25078.857352945204,0.1,0.05066713338662543,0.011041666666666667,2,0,0.09764140821564722,1.9481896767168878,0.011479817762034493,0.17743055555555556,0.0,0.0,0.11727645951013654,92.8461936799431,116.78201411412374,1.257800772282508,1.9481896767168878,0.15000000000000002,False,23,1,False,1.0
44,bb4190d1e48e719accdaac3f98fe5693c9a7bd0e2d44117306bbf8301fbbe70d,158.43861010933978,164.2324311286202,372.02923878570255,25102.793173379385,26972.291434416973,0.03656823936590994,1869.4982610375882,0.49996798427293876,0.3747610895870965,0.4191666666666667,0.16368055555555555,0.27576388888888886,0.2758333333333333,0.0,25233.978900678238,0.1,0.051209552033743604,0.021388888888888888,2,0,0.09800392998844325,2.2521891737461344,0.013271151977256826,0.4052777777777778,0.0,0.0,0.13493427562887972,131.18572729885273,171.22047680129253,1.3051761066296268,2.2521891737461344,0.15000000000000002,False,20,1,False,1.0
