k,ratio_E1_double,ratio_E1_single,ratio_E2_double,ratio_E2_single,ratio_E3_double,ratio_E3_single,binding_evaluator_double,binding_evaluator_single,Q_double,Q_single,delta_Q_single_minus_double,H0_double,H0_single,pass_q0_980_double,pass_q0_980_single,pass_q0_990_double,pass_q0_990_single,pass_q0_995_double,pass_q0_995_single
116,0.930796328439545,0.930796328285278,0.933708583208192,0.933708582999207,0.933708580050568,0.933708579839377,1,1,0.930796328439545,0.930796328285278,-1.54266710516993e-10,0,0,0,0,0,0,0,0
117,0.932173741779629,0.9321737416852,0.934836034245606,0.934836034527015,0.934836014629273,0.934836014909239,1,1,0.932173741779629,0.9321737416852,-9.44285760695607e-11,0,0,0,0,0,0,0,0
118,0.933530527902103,0.933530527041757,0.935947850179182,0.935947849437961,0.935947840507291,0.935947839765797,1,1,0.933530527902103,0.933530527041757,-8.6034546153968e-10,0,0,0,0,0,0,0,0
119,0.934994556857419,0.934994556945736,0.937041804913322,0.937041805464196,0.937041779301221,0.93704177984995,1,1,0.934994556857419,0.934994556945736,8.83166872966967e-11,0,0,0,0,0,0,0,0
120,0.936286419740947,0.936286419123995,0.93807565596075,0.938075655592265,0.938075638940986,0.938075638573191,1,1,0.936286419740947,0.936286419123995,-6.16952822163341e-10,0,0,0,0,0,0,0,0
121,0.937667407227204,0.937667407821833,0.93907141942864,0.939071420083513,0.939071386221033,0.939071386873756,1,1,0.937667407227204,0.937667407821833,5.94628790651086e-10,0,0,0,0,0,0,0,0
122,0.938899335985192,0.938899336373509,0.939984924133956,0.939984924725818,0.939984895671505,0.939984896262045,1,1,0.938899335985192,0.938899336373509,3.88317045185715e-10,0,0,0,0,0,0,0,0
123,0.940332526933235,0.94033252683896,0.94101702190686,0.941017021798741,0.941017002143216,0.941017002035757,1,1,0.940332526933235,0.94033252683896,-9.42758093813723e-11,0,0,0,0,0,0,0,0
124,0.941535026456202,0.941535026303653,0.941864805162047,0.941864804922473,0.941864789986472,0.941864789745424,1,1,0.941535026456202,0.941535026303653,-1.52549417542502e-10,0,0,0,0,0,0,0,0
125,0.942757457043545,0.942757457908363,0.942858408079422,0.942858408913103,0.942858388812805,0.942858389643875,1,1,0.942757457043545,0.942757457908363,8.64818661128197e-10,0,0,0,0,0,0,0,0
126,0.943878523176298,0.943878522715303,0.943849578826551,0.94384957828069,0.943849567534622,0.943849566989198,3,3,0.943849567534622,0.943849566989198,-5.45424039266607e-10,0,0,0,0,0,0,0,0
127,0.944808893826034,0.944808894377198,0.944737524173716,0.944737524788273,0.944737508789004,0.944737509403813,3,3,0.944737508789004,0.944737509403813,6.14808870480488e-10,0,0,0,0,0,0,0,0
128,0.945886160974661,0.945886160574501,0.945757413364023,0.945757412942982,0.94575740443885,0.945757404016557,3,3,0.94575740443885,0.945757404016557,-4.22293755519831e-10,0,0,0,0,0,0,0,0
129,0.944750438533606,0.944750439771505,0.944676406449176,0.944676407864904,0.944676251239649,0.944676252654235,3,3,0.944676251239649,0.944676252654235,1.41458667002325e-09,0,0,0,0,0,0,0,0
130,0.946431361421419,0.946431362036605,0.946492214201048,0.946492214923191,0.946492043409805,0.946492044130992,1,1,0.946431361421419,0.946431362036605,6.15185791197348e-10,0,0,0,0,0,0,0,0
131,0.947637898593817,0.947637898980035,0.94782878844333,0.947828786928453,0.947828623933489,0.947828622418408,1,1,0.947637898593817,0.947637898980035,3.86218279579964e-10,0,0,0,0,0,0,0,0
132,0.946716820070624,0.946716820122492,0.947018199516306,0.947018199468884,0.947018052359775,0.947018052309648,1,1,0.946716820070624,0.946716820122492,5.18683984651602e-11,0,0,0,0,0,0,0,0
133,0.947682387519069,0.947682387514382,0.948070626900181,0.948070626931968,0.94807048351455,0.948070483546365,1,1,0.947682387519069,0.947682387514382,-4.68691752075756e-12,0,0,0,0,0,0,0,0
134,0.948966342665712,0.948966342164311,0.949417672387033,0.9494176719017,0.949417522907727,0.949417522420436,1,1,0.948966342665712,0.948966342164311,-5.0140058771575e-10,0,0,0,0,0,0,0,0
