k,volume_pass_double,volume_pass_single,required_connected_double,required_connected_single,topology_pass_double,topology_pass_single,hard_gate_pass_double,hard_gate_pass_single,binary_differing_elements,binary_difference_explained,max_detached_area_double,max_detached_area_single,n_islands_significant_double,n_islands_significant_single,aggregate_detached_area_double,aggregate_detached_area_single,n_islands_all_double,n_islands_all_single,cutoff_gap_double,cutoff_gap_single,single_cutoff_tie_group_size,single_tie_straddles_cutoff,n_solid_double,n_solid_single
512,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00368333892336076,0.00368335843086243,1,0,576,576
513,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000117200005060603,0.000117182731628418,1,0,576,576
514,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000117200005060603,0.000117182731628418,1,0,576,576
515,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0048827999949394,0.0048828125,1,0,576,576
516,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100875580963738,0.00100874900817871,1,0,576,576
517,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100875580963738,0.00100874900817871,1,0,576,576
518,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100875580963738,0.00100874900817871,1,0,576,576
519,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100875580963738,0.00100874900817871,1,0,576,576
520,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100875580963738,0.00100874900817871,1,0,576,576
521,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100875580963738,0.00100874900817871,1,0,576,576
522,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100875580963738,0.00100874900817871,1,0,576,576
523,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100875580963738,0.00100874900817871,1,0,576,576
524,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100875580963738,0.00100874900817871,1,0,576,576
525,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00104129370303491,0.00104129314422607,1,0,576,576
526,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00104129370303491,0.00104129314422607,1,0,576,576
527,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
528,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00104129370303491,0.00104129314422607,1,0,576,576
529,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
530,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
531,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
532,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00104129370303491,0.00104129314422607,1,0,576,576
533,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00104129370303491,0.00104129314422607,1,0,576,576
534,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00104129370303491,0.00104129314422607,1,0,576,576
535,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00104129370303491,0.00104129314422607,1,0,576,576
536,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00104129370303491,0.00104129314422607,1,0,576,576
537,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
538,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
539,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
540,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
541,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
542,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
543,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
544,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00104129370303491,0.00104129314422607,1,0,576,576
545,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
546,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000174974197945876,0.000174969434738159,1,0,576,576
547,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00517497419794588,0.00517496466636658,1,0,576,576
548,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00517497419794588,0.00517499446868896,1,0,576,576
549,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00517497419794588,0.00517496466636658,1,0,576,576
550,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00517497419794588,0.00517496466636658,1,0,576,576
551,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00570011132162085,0.00570011138916016,1,0,576,576
552,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00570011132162085,0.00570011138916016,1,0,576,576
553,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000700111321620844,0.000700116157531738,1,0,576,576
554,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000700111321620844,0.000700116157531738,1,0,576,576
555,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000700111321620844,0.000700116157531738,1,0,576,576
556,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00440755607631083,0.00440755486488342,1,0,576,576
557,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00440755607631083,0.00440755486488342,1,0,576,576
558,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00440755607631083,0.00440755486488342,1,0,576,576
559,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00440755607631083,0.00440755486488342,1,0,576,576
560,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00440755607631083,0.00440755486488342,1,0,576,576
561,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00440755607631083,0.00440755486488342,1,0,576,576
562,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00440755607631083,0.00440755486488342,1,0,576,576
563,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00440755607631083,0.00440755486488342,1,0,576,576
564,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00440755607631083,0.00440755486488342,1,0,576,576
565,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000157373601000599,0.000157356262207031,1,0,576,576
566,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000157373601000599,0.000157356262207031,1,0,576,576
567,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000157373601000599,0.000157356262207031,1,0,576,576
568,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000291476178345129,0.000291496515274048,1,0,576,576
569,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00256312392197144,0.00256311893463135,1,0,576,576
570,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0051573736010006,0.00515735149383545,1,0,576,576
571,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00338839964209342,0.00338840484619141,1,0,576,576
572,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000794149963064261,0.000794172286987305,1,0,576,576
573,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00579414996306427,0.00579416751861572,1,0,576,576
574,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0051573736010006,0.00515735149383545,1,0,576,576
575,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00579414996306427,0.00579416751861572,1,0,576,576
576,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000794149963064261,0.000794172286987305,1,0,576,576
577,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00579414996306427,0.00579416751861572,1,0,576,576
578,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000794149963064261,0.000794172286987305,1,0,576,576
579,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00579414996306427,0.00579416751861572,1,0,576,576
580,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00585690018504531,0.00585690140724182,1,0,576,576
581,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0015106095473964,0.0015106201171875,1,0,576,576
582,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000794149963064261,0.000794172286987305,1,0,576,576
583,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0015106095473964,0.0015106201171875,1,0,576,576
584,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000794149963064261,0.000794172286987305,1,0,576,576
585,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0015106095473964,0.0015106201171875,1,0,576,576
586,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00585690018504531,0.00585690140724182,1,0,576,576
587,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000856900185045306,0.000856906175613403,1,0,576,576
588,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00124285355719378,0.00124287605285645,1,0,576,576
589,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000856900185045306,0.000856906175613403,1,0,576,576
590,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00195931314152592,0.00195932388305664,1,0,576,576
591,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000856900185045306,0.000856906175613403,1,0,576,576
592,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00269678928804074,0.00269678235054016,1,0,576,576
593,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00269678928804074,0.00269678235054016,1,0,576,576
594,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00195931314152592,0.00195932388305664,1,0,576,576
595,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00195931314152592,0.00195932388305664,1,0,576,576
596,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000120420627534867,0.000120401382446289,1,0,576,576
597,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000120420627534867,0.000120401382446289,1,0,576,576
598,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000120420627534867,0.000120401382446289,1,0,576,576
599,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00512042062753487,0.00512039661407471,1,0,576,576
600,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00430397477198335,0.00430396199226379,1,0,576,576
601,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00512042062753487,0.00512039661407471,1,0,576,576
602,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00713213106719512,0.0071321427822113,1,0,576,576
603,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00713213106719512,0.00713211297988892,1,0,576,576
604,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00713213106719512,0.0071321427822113,1,0,576,576
605,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00713213106719512,0.00713211297988892,1,0,576,576
606,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00213213106719512,0.0021321177482605,1,0,576,576
607,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00099870796524959,0.000998705625534058,1,0,576,576
608,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000291500272299017,0.000291496515274048,1,0,576,576
609,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00126787306664333,0.00126788020133972,1,0,576,576
610,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00126787306664333,0.00126788020133972,1,0,576,576
611,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00126787306664333,0.00126788020133972,1,0,576,576
612,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00126787306664333,0.00126788020133972,1,0,576,576
613,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00126787306664333,0.00126788020133972,1,0,576,576
614,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00126787306664333,0.00126788020133972,1,0,576,576
615,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00126787306664333,0.00126788020133972,1,0,576,576
616,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00626787306664334,0.00626787543296814,1,0,576,576
617,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0036759020144021,0.0036759078502655,1,0,576,576
618,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0086759020144021,0.00867590308189392,1,0,576,576
619,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0036759020144021,0.0036759078502655,1,0,576,576
620,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0036759020144021,0.0036759078502655,1,0,576,576
621,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0036759020144021,0.0036759078502655,1,0,576,576
622,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00834604497590213,0.00834605097770691,1,0,576,576
623,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00334604497590213,0.00334605574607849,1,0,576,576
624,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00334604497590213,0.0033460259437561,1,0,576,576
625,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00334604497590213,0.00334605574607849,1,0,576,576
626,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00834604497590213,0.00834605097770691,1,0,576,576
627,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00834604497590213,0.00834605097770691,1,0,576,576
628,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00834604497590213,0.00834605097770691,1,0,576,576
629,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00334604497590213,0.00334605574607849,1,0,576,576
630,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00334604497590213,0.0033460259437561,1,0,576,576
631,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000275897880563647,0.000275909900665283,1,0,576,576
632,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00527589788056365,0.0052759051322937,1,0,576,576
633,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00834604497590213,0.00834605097770691,1,0,576,576
634,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00527589788056365,0.0052759051322937,1,0,576,576
635,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00334604497590213,0.00334605574607849,1,0,576,576
636,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00334604497590213,0.0033460259437561,1,0,576,576
637,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000275897880563647,0.000275909900665283,1,0,576,576
638,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00527589788056365,0.0052759051322937,1,0,576,576
639,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00539631850809852,0.00539630651473999,1,0,576,576
640,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000396318508098514,0.000396311283111572,1,0,576,576
641,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000396318508098514,0.000396311283111572,1,0,576,576
642,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000396318508098514,0.000396311283111572,1,0,576,576
643,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00460368149190149,0.00460368394851685,1,0,576,576
644,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000396318508098514,0.000396311283111572,1,0,576,576
645,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000396318508098514,0.000396311283111572,1,0,576,576
646,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000228743489103678,0.000228762626647949,1,0,576,576
647,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000228743489103678,0.000228732824325562,1,0,576,576
648,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00477125651089633,0.00477126240730286,1,0,576,576
649,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00477125651089633,0.00477126240730286,1,0,576,576
650,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.004579872652547,0.00457987189292908,1,0,576,576
651,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000420127347453003,0.000420123338699341,1,0,576,576
652,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.004579872652547,0.00457987189292908,1,0,576,576
653,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.004579872652547,0.00457987189292908,1,0,576,576
654,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000420127347453003,0.000420123338699341,1,0,576,576
655,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00223655510299575,0.00223654508590698,1,0,576,576
656,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000420127347453003,0.000420123338699341,1,0,576,576
657,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00162825841461056,0.00162824988365173,1,0,576,576
658,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00318357224445726,0.00318357348442078,1,0,576,576
659,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00337174158538944,0.00337174534797668,1,0,576,576
660,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00318357224445726,0.00318357348442078,1,0,576,576
661,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00318357224445726,0.00318357348442078,1,0,576,576
662,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100041522127514,0.00100040435791016,1,0,576,576
663,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00318357224445726,0.00318357348442078,1,0,576,576
664,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00062784319333542,0.000627845525741577,1,0,576,576
665,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00118858456220733,0.00118857622146606,1,0,576,576
666,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00437215680666458,0.00437217950820923,1,0,576,576
667,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00062784319333542,0.000627845525741577,1,0,576,576
668,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00337174158538944,0.00337174534797668,1,0,576,576
669,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100041522127514,0.00100040435791016,1,0,576,576
670,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00600041522127515,0.00600042939186096,1,0,576,576
671,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100041522127514,0.00100040435791016,1,0,576,576
672,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00062784319333542,0.000627845525741577,1,0,576,576
673,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00399958477872486,0.00399959087371826,1,0,576,576
674,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00100041522127514,0.00100040435791016,1,0,576,576
675,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00060829668838519,0.000608295202255249,1,0,576,576
676,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000188169340932187,0.000188171863555908,1,0,576,576
677,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00060829668838519,0.000608295202255249,1,0,576,576
678,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00063329619262481,0.000633299350738525,1,0,576,576
679,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00118858456220733,0.00118857622146606,1,0,576,576
680,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00104633646286645,0.00104635953903198,1,0,576,576
681,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00118858456220733,0.00118857622146606,1,0,576,576
682,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00063329619262481,0.000633299350738525,1,0,576,576
683,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00118858456220733,0.00118857622146606,1,0,576,576
684,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00063329619262481,0.000633299350738525,1,0,576,576
685,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00118858456220733,0.00118857622146606,1,0,576,576
686,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00381141543779268,0.00381141901016235,1,0,576,576
687,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00106148997705474,0.00106149911880493,1,0,576,576
688,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000962132720207953,0.000962138175964355,1,0,576,576
689,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00381141543779268,0.00381141901016235,1,0,576,576
690,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000962132720207953,0.000962138175964355,1,0,576,576
691,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00381141543779268,0.00381141901016235,1,0,576,576
692,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00471652323305349,0.00471654534339905,1,0,576,576
693,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00471652323305349,0.00471654534339905,1,0,576,576
694,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00471652323305349,0.00471654534339905,1,0,576,576
695,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00448264779037516,0.00448265671730042,1,0,576,576
696,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000226451841999376,0.000226438045501709,1,0,576,576
697,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0045396727153223,0.00453966856002808,1,0,576,576
698,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000226451841999376,0.000226438045501709,1,0,576,576
699,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0045396727153223,0.00453966856002808,1,0,576,576
700,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000226451841999376,0.000226438045501709,1,0,576,576
701,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0045396727153223,0.00453966856002808,1,0,576,576
702,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000226451841999376,0.000226438045501709,1,0,576,576
703,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00388803908640739,0.00388804078102112,1,0,576,576
704,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000226451841999376,0.000226438045501709,1,0,576,576
705,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00388803908640739,0.00388804078102112,1,0,576,576
706,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000885509071593238,0.000885516405105591,1,0,576,576
707,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00388803908640739,0.00388804078102112,1,0,576,576
708,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00388803908640739,0.00388804078102112,1,0,576,576
709,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000885509071593238,0.000885516405105591,1,0,576,576
710,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00250577901874643,0.00250577926635742,1,0,576,576
711,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00339128809033967,0.00339129567146301,1,0,576,576
712,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00477125651089633,0.00477126240730286,1,0,576,576
713,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00339128809033967,0.00339129567146301,1,0,576,576
714,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00339128809033967,0.00339129567146301,1,0,576,576
715,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00315741264766134,0.00315740704536438,1,0,576,576
716,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00315741264766134,0.00315740704536438,1,0,576,576
717,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00160871190966033,0.00160869956016541,1,0,576,576
718,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00296309430590974,0.00296309590339661,1,0,576,576
719,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00296309430590974,0.00296309590339661,1,0,576,576
720,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00296309430590974,0.00296309590339661,1,0,576,576
721,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00184258735233866,0.00184258818626404,1,0,576,576
722,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000420127347457333,0.000420123338699341,1,0,576,576
723,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00315741264766134,0.00315740704536438,1,0,576,576
724,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000420127347457333,0.000420123338699341,1,0,576,576
725,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00184258735233866,0.00184258818626404,1,0,576,576
726,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.000420127347457333,0.000420123338699341,1,0,576,576
