outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,itersSinceMoveChange,moveDescent,l2,rms,maxAbs,ratio_maxAbs_over_move,beta,objRelRange_W10,C1_A_moveSettled,C1_B1_absolute,C1_B2_ratio,C1_C_objective,C1_admit,C2_B2_ratio,C2_admit,nInner,innerConv,multN,degen
102,164.482684402056,177.6385509963,0.07998329211412,0.499992116667553,28.0047308094018,0.313125,0.13234375,0.04,1,101,0,0.474755047180275,0.0041962814157964,0.0354716103784865,0.886790259462162,27091.3799831182,0.00571952548750557,1,0,0,0,0,0,0,16,1,2,1
103,164.576588527911,178.106001573674,0.0822073975817587,0.499992187967531,27.7358207185587,0.31140625,0.13046875,0.04,1,102,0,0.478424957324762,0.0042287191451653,0.0385201756497423,0.963004391243557,27121.0493168853,0.005573466755427,1,0,0,0,0,0,0,16,1,2,1
104,164.681543432802,178.577632786966,0.0843815831725769,0.499992946942856,27.5088211425224,0.30890625,0.13,0.04,1,103,0,0.411487550744343,0.00363707046881461,0.0375950330183045,0.939875825457612,27149.310831957,0.00550581506059437,1,0,0,0,0,0,0,15,1,2,1
105,164.766167212986,178.83060308,0.085359974713948,0.499993465691274,27.2918459188747,0.3059375,0.1296875,0.04,1,104,0,0.407768060228414,0.00360419450673495,0.0381787294885288,0.95446823721322,27176.1662096561,0.00537916625240738,1,0,0,0,0,0,0,16,1,2,1
106,164.847341708287,179.0780063825,0.0863263218365685,0.499992924879857,27.0935338877428,0.30359375,0.129375,0.04,1,105,0,0.386306936358407,0.00341450317898037,0.0379589883433281,0.948974708583201,27198.3511953885,0.005196674009705,1,0,0,0,0,0,0,16,1,2,1
107,164.922984893603,179.260643256739,0.0869354770190818,0.499993684023323,26.8655240597894,0.3015625,0.12765625,0.04,1,106,0,0.429672173496531,0.003797801344582,0.0383263295524304,0.95815823881076,27230.0853323002,0.0050529632102506,1,0,0,0,0,0,0,16,1,2,1
108,164.992043867529,179.689208929937,0.0890780229027775,0.499993898898197,26.6845518719245,0.3,0.12640625,0.04,1,107,0,0.356644562806221,0.00315232236041988,0.0353971093911321,0.884927734778303,27242.2250583104,0.00484805339216118,1,0,0,1,0,0,0,16,1,2,1
109,165.056895809141,179.853732942575,0.0896468884919739,0.499994936900804,26.496790243052,0.29796875,0.1253125,0.04,1,108,0,0.356074597541979,0.00314728453162755,0.0360728182215904,0.90182045553976,27267.0883049941,0.00464308915588193,1,0,0,1,0,0,0,16,1,2,1
110,165.117448994976,180.078038935316,0.0906057477958919,0.499993412098551,26.3255326730103,0.29578125,0.125,0.04,1,109,0,0.345782502120256,0.00305631440081106,0.0367000427029131,0.917501067572827,27282.6212541401,0.00438391486917231,1,0,0,1,0,0,0,16,1,2,1
111,165.17644194024,180.264138049999,0.0913429053957797,0.499994786969244,26.1417927701984,0.293125,0.12421875,0.04,1,110,0,0.360448972376209,0.00318594890798675,0.0361347741227453,0.903369353068634,27304.5165044337,0.00420811029186844,1,0,0,1,0,0,0,17,1,2,1
112,165.238382170948,180.470418093958,0.0921821898937032,0.499993224460491,25.9677062422283,0.2915625,0.1234375,0.04,1,111,0,0.349724076551914,0.00309115332592577,0.0355360337974785,0.888400844936961,27322.4551456792,0.00401238836877489,1,0,0,1,0,0,0,16,1,2,1
113,165.296366412992,180.651565667928,0.0928949594485953,0.499995187429287,25.7858607517946,0.2890625,0.12203125,0.04,1,112,0,0.353466842564104,0.00312423501627095,0.0350768365483101,0.876920913707753,27343.8117481649,0.00372598396155637,1,0,0,1,0,0,0,17,1,2,1
114,165.351302379007,180.830009647741,0.0936110393207199,0.499995065268939,25.6137851375129,0.286875,0.12109375,0.04,1,113,0,0.340422745111228,0.00300894039422861,0.0323270345479926,0.808175863699816,27359.8558363112,0.00354462950789387,1,0,0,1,0,0,0,17,1,2,1
115,165.403432099349,181.003085377256,0.0943127544568595,0.49999524844447,25.4506122846646,0.28546875,0.120625,0.04,1,114,0,0.327876335293075,0.00289804475095409,0.0357014118397591,0.892535295993977,27376.2558295138,0.00336738223313224,1,0,0,1,0,0,0,17,1,2,1
116,165.450795383202,181.189335183651,0.0951251987879343,0.499995647983247,25.291163459109,0.28375,0.11984375,0.04,1,115,0,0.321886610366818,0.00284510256204411,0.0333588631177496,0.83397157794374,27390.7204989601,0.00319496696490191,1,0,0,1,0,0,0,17,1,2,1
117,165.498391230711,181.358909280396,0.095834877497841,0.499995950162349,25.135890473208,0.28265625,0.11828125,0.04,1,116,0,0.312107131637555,0.00275866336546997,0.0330798518267103,0.826996295667757,27405.7821922229,0.00306397816442305,1,0,0,1,0,0,0,17,1,2,1
118,165.542543346468,181.529931701833,0.0965757081664746,0.499996010283625,24.9844776180237,0.28125,0.11625,0.04,1,117,0,0.307580490032029,0.00271865312827911,0.0333811709735875,0.834529274339687,27419.5908920147,0.0029377420399286,1,0,0,1,0,0,0,17,1,2,1
119,165.582883820582,181.698915030443,0.0973290888406287,0.499996249349882,24.8282406394232,0.27953125,0.1146875,0.04,1,118,0,0.313331328892178,0.00276948384272315,0.0294935416319146,0.737338540797864,27433.1823500027,0.00281457731311991,1,0,0,1,0,0,0,18,1,2,1
120,165.623011212227,181.869480737476,0.0980930693527326,0.499996364377137,24.6863341019825,0.27734375,0.113125,0.04,1,119,0,0.293062963900267,0.00259033511360634,0.0298206384647125,0.745515961617812,27444.7641197157,0.00269966819174441,1,0,0,1,0,0,0,17,1,2,1
121,165.660508154272,182.02930564435,0.0988092918007596,0.499996415287771,24.5430658125849,0.27515625,0.11203125,0.04,1,120,0,0.294153927154611,0.00259997795754599,0.0319362991416131,0.798407478540327,27457.6697468782,0.00255115336455425,1,0,0,1,0,0,0,17,1,2,1
122,165.699347149483,182.19303814106,0.0995398670864874,0.499996482246375,24.3993054879167,0.27359375,0.11046875,0.04,1,121,0,0.294939908561898,0.00260692511733323,0.0299578401819522,0.748946004548806,27470.5639344811,0.0024347691811337,1,0,0,1,0,0,0,17,1,2,1
123,165.735823013857,182.356611999533,0.100284830903974,0.499996661272106,24.2513738895904,0.271875,0.10890625,0.04,1,122,0,0.298094862393565,0.002634811232942,0.0280826723951759,0.702066809879397,27482.5671552668,0.0023226184083624,1,0,0,1,0,0,0,18,1,2,1
124,165.769701606167,182.527936777802,0.101093474918892,0.499996794813138,24.1164897720491,0.26921875,0.10796875,0.04,1,123,0,0.278484389097149,0.00246147749981484,0.0303581865444215,0.758954663610539,27492.2933680848,0.00221181721217891,1,0,0,1,0,0,0,17,1,2,1
125,165.801514296029,182.689165557765,0.10185462619831,0.499996704882837,23.9803359972598,0.2684375,0.1065625,0.04,1,124,0,0.282968229567317,0.00250110942484252,0.0322366089677113,0.805915224192782,27503.6386154302,0.00211740174797851,1,0,0,1,0,0,0,17,1,2,1
126,165.834670455292,182.862635932238,0.102680370939305,0.499996847213307,23.8478552993216,0.26625,0.105,0.04,1,125,0,0.274164112995325,0.00242329129321237,0.0291456573773561,0.728641434433901,27513.5985108193,0.00202975434134042,1,0,0,1,0,0,0,17,1,2,1
127,165.863473258108,183.036368899687,0.103536332046151,0.49999683174363,23.7078169365354,0.2653125,0.10234375,0.04,1,126,0,0.282539195622839,0.00249731726469877,0.0290251564762963,0.725628911907408,27523.2741959501,0.00193668035549153,1,0,0,1,0,0,0,18,1,2,1
128,165.893427936447,183.206168387278,0.104360616729575,0.499997158477976,23.5799723861935,0.26484375,0.09984375,0.04,1,127,0,0.261887546386011,0.00231478074947318,0.0308199900292399,0.770499750730996,27532.6419612659,0.0018736096123138,1,0,0,1,0,0,0,17,1,2,1
129,165.918844506453,183.378245790503,0.105228561204037,0.49999715071745,23.4506347127922,0.26421875,0.096875,0.04,1,128,0,0.269047330929577,0.00237806490200557,0.0258826766747165,0.647066916867913,27540.8342417608,0.0017844929233866,1,0,0,1,0,0,0,18,1,2,1
130,165.943303705874,183.550731780978,0.106105083374217,0.499999085283126,23.4009511213499,0.26375,0.0965625,0.02,2,0,1,0.0928280396026779,0.000820491703591337,0.00775357200579792,0.387678600289896,27542.7970274351,0.00170551858049066,0,1,1,1,0,0,0,18,1,2,1
131,165.946838904307,183.660256755976,0.10674152016769,0.499999138617815,23.3595679520743,0.26375,0.095625,0.02,2,1,0,0.0900805050739091,0.000796206699880879,0.0081885774212143,0.409428871060715,27542.722799579,0.00149234634837639,0,1,1,1,0,0,0,18,1,2,1
132,165.950789252205,183.769712268247,0.107374741008074,0.49999915712623,23.3217112290185,0.26359375,0.095,0.02,2,2,0,0.0843470575198228,0.000745529704317481,0.00818220273854721,0.409110136927361,27543.4343923438,0.00129602478751338,0,1,1,1,0,0,0,17,1,2,1
133,165.954396630699,183.87226871129,0.107968649486665,0.499999164913759,23.2813468072635,0.26328125,0.094375,0.02,2,3,0,0.0876628026134701,0.000774837027322531,0.00686856971778978,0.343428485889489,27544.8703597798,0.00111337386029311,0,1,1,1,0,0,0,18,1,2,1
134,165.95880895456,183.979928571592,0.108587906424213,0.499999181476067,23.2414933931205,0.2628125,0.09359375,0.02,2,4,0,0.0870070536390269,0.00076904097049022,0.00710987846151604,0.355493923075802,27546.2168153419,0.000948091589445017,0,1,1,1,0,0,0,18,1,2,1
135,165.963014024164,184.085905897755,0.109198377603291,0.499999185906393,23.20217837867,0.2625,0.0925,0.02,2,5,0,0.0869116018545915,0.000768197287939587,0.00779674093616355,0.389837046808177,27547.5488025975,0.000773513961414717,0,1,1,1,0,0,0,18,1,2,1
136,165.967065287276,184.190421070387,0.10980103643797,0.499999183197849,23.1630040076684,0.26203125,0.09171875,0.02,2,6,0,0.0870936300241713,0.000769806204853048,0.00831262935893102,0.415631467946551,27548.8715396052,0.00062428907236645,0,1,1,1,0,0,0,18,1,2,1
137,165.971077716764,184.293799266508,0.110397075212177,0.499999189014469,23.1237443460298,0.26140625,0.09078125,0.02,2,7,0,0.0866876952260092,0.000766218214246798,0.00760104176024837,0.380052088012419,27550.1822561813,0.000467919842873784,0,1,1,1,0,0,0,18,1,2,1
138,165.975271174225,184.396217156153,0.110986087575609,0.499999203135178,23.0846072534352,0.26109375,0.09015625,0.02,2,8,0,0.0863805291304927,0.000763503223883169,0.00801581712244809,0.400790856122405,27551.5758546019,0.00034001197811102,0,1,1,1,0,0,0,18,1,2,1
139,165.979594984705,184.497655176849,0.111568293643868,0.499999199076444,23.0476705573486,0.260625,0.0890625,0.02,2,9,0,0.0825385973137531,0.000729545023377257,0.00790610305978788,0.395305152989394,27552.7132954336,0.000218673515576807,0,1,1,1,0,0,0,17,1,2,1
140,165.98362872991,184.59327600542,0.112117366139718,0.499999186016454,23.0103776781631,0.2596875,0.088125,0.02,2,10,0,0.0833229682407182,0.00073647794839504,0.00786056539326848,0.393028269663424,27554.1763029565,0.000221672128680382,1,1,1,1,1,0,0,17,1,2,1
141,165.988026569288,184.689107264859,0.11266523906629,0.499992252507356,22.9983167743878,0.259375,0.08796875,0.01,3,0,1,0.0240898730625761,0.000212926407505884,0.0031655268249874,0.31655268249874,27548.8092433139,0.000224362860170094,0,1,1,1,0,0,0,18,1,2,1
142,165.984146895963,184.710041256423,0.112817366662112,0.499999521474077,22.9752557423041,0.25921875,0.0878125,0.01,3,1,0,0.0241704051887868,0.000213638217662721,0.00277279825954961,0.277279825954961,27555.8726230211,0.000202623554876238,0,1,1,1,0,0,0,18,1,2,1
143,165.992323383885,184.742692724927,0.112959255939076,0.49999956481743,22.9626996448946,0.2590625,0.08796875,0.01,3,2,0,0.0224181053431634,0.000198149928868815,0.00245198477379367,0.245198477379367,27554.6497731611,0.000201922986466551,0,1,1,1,0,1,0,17,1,2,1
144,165.994002320455,184.768140926692,0.113101306937546,0.499999097907703,22.9555578234353,0.2590625,0.08765625,0.01,3,3,0,0.0218235326675092,0.000192894599233023,0.00198895658300907,0.198895658300907,27553.1138116911,0.00018669918550285,0,1,1,1,0,1,0,17,1,2,1
145,165.992279249839,184.790208448727,0.113245804466574,0.499999335583768,22.9405298196731,0.2590625,0.0871875,0.01,3,4,0,0.022243128172629,0.000196603334570844,0.00199088024976249,0.199088024976249,27555.9914496935,0.000162288156670373,0,1,1,1,0,1,0,17,1,2,1
146,165.996193865833,184.817140155741,0.113381794194149,0.4999995585913,22.928939204761,0.25890625,0.08640625,0.01,3,5,0,0.0221581571825738,0.000195852290029941,0.00198364294678001,0.198364294678001,27555.3310035072,0.000151315179290234,0,1,1,1,0,1,0,17,1,2,1
147,165.997230429436,184.842036271078,0.113524820823156,0.499999799774404,22.9155418827236,0.25890625,0.08640625,0.01,3,6,0,0.0221651997182794,0.000195914537839369,0.00198583634154705,0.198583634154705,27556.8417809585,0.000132294018383889,0,1,1,1,0,1,0,17,1,2,1
148,166.000147020416,184.868750063698,0.113666182723086,0.499997416576563,22.9155009771021,0.25890625,0.0865625,0.01,3,7,0,0.0189550051129271,0.000167540158159706,0.00168743266506158,0.168743266506158,27554.1678346055,0.000123814337860504,0,1,1,1,0,1,0,14,1,2,1
149,165.995650931021,184.885107496188,0.113794888355339,0.499996295153319,22.9022271334066,0.25859375,0.08671875,0.01,3,8,0,0.0221965963769659,0.000196192047717667,0.00199339792657052,0.199339792657052,27554.9664815185,9.95123523418042e-05,0,1,1,1,0,1,0,17,1,2,1
150,165.997444992364,184.910278284767,0.113934484312533,0.499997569563578,22.8963209923959,0.25859375,0.0865625,0.01,3,9,0,0.0209809328315352,0.000185446998509975,0.00189928035704468,0.189928035704468,27556.2123315854,9.63899241827461e-05,0,1,1,1,0,1,0,16,1,2,1
151,165.998025746268,184.933653361105,0.114071402534516,0.499996791044634,22.8828269189257,0.25875,0.0865625,0.01,3,10,0,0.0222339037518013,0.000196521801439346,0.00201354049675411,0.201354049675411,27555.8558789434,9.63893435499592e-05,1,1,1,1,1,1,1,17,1,2,1
152,165.999628915736,184.959261260287,0.114214907999437,0.499998478754315,22.8838337023477,0.25875,0.0865625,0.005,4,0,1,0.00488292745549487,4.31593889477799e-05,0.000480785280699069,0.0961570561398138,27555.8310559784,4.73972668323967e-05,0,1,1,1,0,1,0,16,1,2,1
153,165.998018575511,184.96286357454,0.114247417901575,0.499997690530045,22.8801028240284,0.25875,0.08640625,0.005,4,1,0,0.00436236281487928,3.85582041049646e-05,0.000504827206432178,0.100965441286436,27555.3525114324,4.73971042169632e-05,0,1,1,1,0,1,0,17,1,2,1
154,165.999501500833,184.968704491246,0.114272650332733,0.499997655201605,22.8773886295478,0.25875,0.08640625,0.005,4,2,0,0.00428417689967693,3.78671317195539e-05,0.000504769891100391,0.100953978220078,27555.8744603159,4.73969471993192e-05,0,1,1,1,0,1,0,17,1,2,1
155,165.999906901272,184.973285971928,0.114297528383201,0.499997646101956,22.8749533276447,0.25875,0.08640625,0.005,4,3,0,0.00427153594055513,3.77554003706074e-05,0.000506876891622904,0.101375378324581,27555.9759684828,2.70851736683902e-05,0,1,1,1,0,1,0,17,1,2,1
156,166.00018959836,184.977697998312,0.114322209184633,0.499997651115975,22.8725916153393,0.25875,0.08609375,0.005,4,4,0,0.00426134069788313,3.76652863052422e-05,0.000509075790629704,0.101815158125941,27556.0757745004,2.73416043095384e-05,0,1,1,1,0,1,0,17,1,2,1
157,166.000487003124,184.982110192786,0.114346792183234,0.499997682331157,22.8704211559528,0.25875,0.08609375,0.005,4,5,0,0.00423179069022819,3.74040986702806e-05,0.000511592498950402,0.10231849979008,27556.1113482894,2.9133157508143e-05,0,1,1,1,0,1,0,17,1,2,1
158,166.000666406299,184.986382125129,0.114371322295549,0.499997652033978,22.8681741211678,0.25890625,0.08609375,0.005,4,6,0,0.00425569363459763,3.76153728459552e-05,0.000514133760348993,0.102826752069799,27556.2713074845,3.02138972297685e-05,0,1,1,1,0,1,0,17,1,2,1
159,166.001011089699,184.990825659096,0.114395776536181,0.499997630189134,22.8661020705473,0.25890625,0.08609375,0.005,4,7,0,0.00422900988080651,3.73795195552899e-05,0.000516751198012068,0.103350239602414,27556.2998677646,2.14825803128171e-05,0,1,1,1,0,1,0,17,1,2,1
160,166.001198874632,184.995107279772,0.11442030861165,0.499997631464788,22.8640394811703,0.25890625,0.0859375,0.005,4,8,0,0.00422781275577708,3.7368938364962e-05,0.000519422507391515,0.103884501478303,27556.3880597511,1.91584442019505e-05,0,1,1,1,0,1,0,17,1,2,1
161,166.001435912955,184.999435268069,0.114444789291311,0.499997829254373,22.8620247678357,0.25890625,0.0859375,0.005,4,9,0,0.00423178113203041,3.74040141869499e-05,0.000521425551063872,0.104285110212774,27556.4927756333,2.05863447916093e-05,0,1,1,1,0,1,0,17,1,2,1
162,166.001648869214,185.003763306341,0.114469431879551,0.499997831689336,22.8600011951347,0.25875,0.085625,0.005,4,10,0,0.00422630067539496,3.73555733363133e-05,0.000524554743184932,0.104910948636986,27556.5553249421,2.18691856247156e-05,1,1,1,1,1,1,1,17,1,2,1
163,166.001883675295,185.008104866189,0.114494009164803,0.499997832828912,22.8580036921351,0.25875,0.085625,0.005,4,11,0,0.00422265213057843,3.73233244515479e-05,0.000527589647399413,0.105517929479883,27556.6326136142,1.43503800156792e-05,1,1,1,1,1,1,1,17,1,2,1
164,166.002117029249,185.012442070242,0.114518569890547,0.499997831815598,22.8560274841275,0.25875,0.08546875,0.005,4,12,0,0.00421974340880229,3.72976147403917e-05,0.000530786931934087,0.106157386386817,27556.7071675532,1.33139393841907e-05,1,1,1,1,1,1,1,17,1,2,1
165,166.00234662811,185.016773536346,0.114543121193545,0.499997826066221,22.8540838735001,0.25875,0.085625,0.005,4,13,0,0.00421440044626352,3.72503891773568e-05,0.00053418193763955,0.10683638752791,27556.7781708904,1.29940534766125e-05,1,1,1,1,1,1,1,17,1,2,1
166,166.002566830009,185.021089026025,0.114567639279286,0.499997826936258,22.8521464594603,0.25875,0.08546875,0.005,4,14,0,0.0042090305818066,3.72029258327126e-05,0.000537756209227508,0.107551241845502,27556.853470955,1.25289616707744e-05,1,1,1,1,1,1,1,17,1,2,1
167,166.002792511196,185.025407711894,0.114592139764247,0.499997827665574,22.8502186521959,0.25875,0.08546875,0.005,4,15,0,0.00420837026538298,3.71970894049517e-05,0.000541597704242937,0.108319540848587,27556.9286398309,1.28077245095965e-05,1,1,1,1,1,1,1,17,1,2,1
168,166.003016553605,185.029727881969,0.114616660126893,0.499997828800548,22.8483019607123,0.25859375,0.08546875,0.005,4,16,0,0.00420730858093208,3.71877053515178e-05,0.000545717068564624,0.109143413712925,27557.0021843249,1.20809621850525e-05,1,1,1,1,1,1,1,17,1,2,1
169,166.003239047775,185.034047154198,0.114641185410522,0.499997829461189,22.8463890073888,0.25859375,0.08546875,0.005,4,17,0,0.00420966316568411,3.72085171370808e-05,0.000551084983520551,0.11021699670411,27557.0758192634,1.22900349558619e-05,1,1,1,1,1,1,1,17,1,2,1
170,166.003460301355,185.038365689932,0.114665714521987,0.499997829768989,22.8444856043048,0.25859375,0.08546875,0.005,4,18,0,0.00421122546831192,3.72223260718607e-05,0.000559108534868611,0.111821706973722,27557.1492261409,1.21949308018489e-05,1,1,1,1,1,1,1,17,1,2,1
171,166.003680727822,185.042683225274,0.114690243095684,0.499997828841768,22.8425910315345,0.25859375,0.08546875,0.005,4,19,0,0.00421246438107958,3.7233276617102e-05,0.000567574145440115,0.113514829088023,27557.2209575283,1.22399148425186e-05,1,1,1,1,1,1,1,17,1,2,1
172,166.003898745592,185.046994058903,0.114714747407802,0.499997828887859,22.8406979358916,0.25859375,0.08546875,0.005,4,20,0,0.00421415908885871,3.72482558591364e-05,0.000576518862798955,0.115303772559791,27557.293501952,1.2138765611275e-05,1,1,1,1,1,1,1,17,1,2,1
173,166.004116834732,185.051304031355,0.114739245988609,0.499997828703812,22.8388013871354,0.25859375,0.08546875,0.005,4,21,0,0.00421794396175699,3.72817097252902e-05,0.000586106548031254,0.117221309606251,27557.3670174172,1.20467943052195e-05,1,1,1,1,1,1,1,17,1,2,1
174,166.004337367122,185.055617445625,0.114763748831281,0.499997829172882,22.8369105186549,0.25859375,0.08546875,0.005,4,22,0,0.00422035897272033,3.73030556081504e-05,0.00059627237504095,0.11925447500819,27557.4397233683,1.19921619975614e-05,1,1,1,1,1,1,1,17,1,2,1
175,166.004556118535,185.059929438309,0.114788255005286,0.499997829347743,22.8350235390355,0.25859375,0.08546875,0.005,4,23,0,0.0042226272732905,3.73231047420872e-05,0.000607177138813235,0.121435427762647,27557.5118612462,1.19834083570835e-05,1,1,1,1,1,1,1,17,1,2,1
176,166.004773679126,185.064237930056,0.114812748022358,0.49999782901938,22.8331382780486,0.25859375,0.08546875,0.005,4,24,0,0.0042253074145638,3.73467940679483e-05,0.000618905639652786,0.123781127930557,27557.5845580959,1.19344742880762e-05,1,1,1,1,1,1,1,17,1,2,1
177,166.004990603843,185.068545334908,0.114837238698196,0.499997829293507,22.8312578541288,0.25859375,0.08546875,0.005,4,25,0,0.00422892060152493,3.73787304304721e-05,0.000631614254784029,0.126322850956806,27557.6560534252,1.18915818575105e-05,1,1,1,1,1,1,1,17,1,2,1
178,166.005207158551,185.072852235692,0.114861728758481,0.499997828598749,22.8293775109625,0.25859375,0.08546875,0.005,4,26,0,0.00423299825972318,3.7414772177514e-05,0.000645441127183846,0.129088225436769,27557.7273085997,1.18557871866434e-05,1,1,1,1,1,1,1,17,1,2,1
179,166.005422550936,185.077158549561,0.114886223025478,0.499997829017758,22.8274988890903,0.25859375,0.08546875,0.005,4,27,0,0.00423690736421378,3.74493241061849e-05,0.000660616646563575,0.132123329312715,27557.7996818784,1.1820464129764e-05,1,1,1,1,1,1,1,17,1,2,1
180,166.005638539331,185.081462145328,0.114910696852486,0.499998783353146,22.8272085396311,0.25859375,0.08546875,0.005,4,28,0,0.00456731309946952,4.03697258054631e-05,0.000681323643362067,0.136264728672413,27558.3740276177,1.1793714002094e-05,1,1,1,1,1,1,1,17,1,2,1
181,166.005037826807,185.084997663886,0.114936028971514,0.499997662258088,22.8246379602728,0.25859375,0.08546875,0.005,4,29,0,0.0042913382111997,3.79304293688032e-05,0.000697823747038475,0.139564749407695,27557.1988273964,1.04803822600066e-05,1,1,1,1,1,1,1,17,1,2,1
182,166.005941478536,185.089982404052,0.114959987308547,0.499997644719934,22.8225513801495,0.25859375,0.0853125,0.005,4,30,0,0.00425036232914517,3.75682503179799e-05,0.000716918142581591,0.143383628516318,27557.9492481887,1.09914989276753e-05,1,1,1,1,1,1,1,17,1,2,1
183,166.006208510539,185.094396318855,0.114984782675185,0.499997637067705,22.820517114702,0.25859375,0.0853125,0.005,4,31,0,0.00425492002255127,3.76085350169052e-05,0.000740906183919367,0.148181236783873,27558.0530924998,1.127159443644e-05,1,1,1,1,1,1,1,17,1,2,1
184,166.006457672341,185.098749117694,0.115009329836052,0.499997639984993,22.8185185190053,0.2584375,0.0853125,0.005,4,32,0,0.00426583604681012,3.77050199516181e-05,0.000768558904317263,0.153711780863453,27558.1344043859,1.14547691682272e-05,1,1,1,1,1,1,1,17,1,2,1
185,166.006694567889,185.103077709452,0.115033813493311,0.499998781829893,22.8181748410812,0.2584375,0.0853125,0.005,4,33,0,0.00459565153856931,4.06202045861594e-05,0.000804077086528057,0.160815417305611,27558.7315359657,1.15712261023224e-05,1,1,1,1,1,1,1,17,1,2,1
186,166.006072728533,185.106603574467,0.115059229653417,0.49999764784728,22.8155050993074,0.2584375,0.0853125,0.005,4,34,0,0.00434059292089435,3.8365783609184e-05,0.000840974196271508,0.168194839254302,27557.5496743619,1.0264487040686e-05,1,1,1,1,1,1,1,17,1,2,1
187,166.006993536345,185.111616559704,0.115083242075442,0.499997652243661,22.8132579180217,0.2584375,0.08515625,0.005,4,35,0,0.00434028006881823,3.83630183613773e-05,0.000886861967763697,0.177372393552739,27558.3457992295,1.17809592472592e-05,1,1,1,1,1,1,1,17,1,2,1
188,166.007358288568,185.116148129506,0.115108089412045,0.49999762215702,22.8112020518586,0.25828125,0.08515625,0.005,4,36,0,0.00433972037994491,3.83580713639064e-05,0.000947539315602372,0.189507863120474,27558.4130764278,1.39781646997747e-05,1,1,1,1,1,1,1,17,1,2,1
189,166.007555836285,185.120459770551,0.115132735001021,0.499997824115285,22.8091667765326,0.25828125,0.08515625,0.005,4,37,0,0.00438598050078474,3.87669569282107e-05,0.00102747095756008,0.205494191512016,27558.5349947233,1.51681473707991e-05,1,1,1,1,1,1,1,17,1,2,1
190,166.00777429125,185.124809671163,0.11515747055541,0.499997819462076,22.8071241759072,0.25828125,0.085,0.005,4,38,0,0.00444178180495357,3.92601754354211e-05,0.00114142736674214,0.228285473348429,27558.6004342336,1.6484069224952e-05,1,1,1,1,1,1,1,17,1,2,1
191,166.008012091426,185.12916821209,0.115182128138087,0.49999907393168,22.8045079275592,0.2584375,0.085,0.005,4,39,0,0.00455905305272411,4.02967166171306e-05,0.00111061438705872,0.222122877411743,27559.2144967958,1.24730526490191e-05,1,1,1,1,1,1,1,18,1,2,1
192,166.008893744668,185.134313194335,0.115207197748587,0.499997837314929,22.804608890871,0.2584375,0.08484375,0.005,4,40,0,0.00487835988987311,4.31190169899716e-05,0.0010259693210461,0.205193864209221,27558.0563492732,1.6993335827863e-05,1,1,1,1,1,1,1,18,1,2,1
193,166.007419294192,185.137050195019,0.115233590053745,0.499995831285411,22.8028662952314,0.2584375,0.0846875,0.005,4,41,0,0.00426459532787673,3.76940534419763e-05,0.000873676275983122,0.174735255196624,27557.4576474538,1.6993323433679e-05,1,1,1,1,1,1,1,16,1,2,1
194,166.007584278531,185.141104852299,0.115256906224635,0.499995868268312,22.8013968148082,0.2584375,0.08453125,0.005,4,42,0,0.00417743707785124,3.69236760716091e-05,0.000628107580175657,0.125621516035131,27558.2392582203,1.69933119011935e-05,1,1,1,1,1,1,1,16,1,2,1
195,166.007615065671,185.14526339562,0.115281749709965,0.499997681293944,22.7985422363627,0.2584375,0.08453125,0.005,4,43,0,0.0042248266836196,3.73425449665661e-05,0.000454151749589202,0.0908303499178403,27559.7317981751,1.6993302478545e-05,1,1,1,1,1,1,1,17,1,2,1
196,166.008807549154,185.150719687445,0.11530660584152,0.499997636464177,22.7962898383311,0.2584375,0.084375,0.005,4,44,0,0.00414213744318332,3.66116684335204e-05,0.000458450714164617,0.0916901428329234,27558.9620502729,1.14465001512328e-05,1,1,1,1,1,1,1,17,1,2,1
197,166.009177503828,185.155168396415,0.115330918329169,0.499997629793805,22.7941896669262,0.2584375,0.084375,0.005,4,45,0,0.00413712785661425,3.65673895255963e-05,0.000460343634904566,0.0920687269809131,27559.0477259434,1.09585986391995e-05,1,1,1,1,1,1,1,17,1,2,1
198,166.009479841549,185.159545998492,0.115355256671009,0.499997629277339,22.7921705327466,0.258125,0.08421875,0.005,4,46,0,0.00413405298818595,3.65402112716349e-05,0.00046231559578305,0.0924631191566099,27559.1376939884,1.24123203589926e-05,1,1,1,1,1,1,1,17,1,2,1
199,166.0097496974,185.163882619391,0.115379566302008,0.499997643292322,22.7902330739875,0.258125,0.08421875,0.005,4,47,0,0.00415785066609544,3.67505550144636e-05,0.000463927428194851,0.0927854856389702,27559.2392291812,1.4037858852776e-05,1,1,1,1,1,1,1,17,1,2,1
200,166.010040327428,185.168244376085,0.115403887685776,0.499997639726725,22.7883237459679,0.25828125,0.08421875,0.005,4,48,0,0.00415631085681467,3.67369448946616e-05,0.000465532191154729,0.0931064382309459,27559.3138051806,1.57885314697474e-05,1,1,1,1,1,1,1,17,1,2,1
201,166.010288438356,185.172565039221,0.115428247135298,0.499997637689134,22.7864346544971,0.25828125,0.0840625,0.005,4,49,0,0.00415670113734689,3.67403945197978e-05,0.000467190385704069,0.0934380771408138,27559.3922165688,1.72830737864016e-05,1,1,1,1,1,1,1,17,1,2,1
